Date,^J203.JO
2012-02-08,34226.73046875
2012-02-09,34268.140625
2012-02-10,33892.578125
2012-02-13,34207.4296875
2012-02-14,34112.44140625
2012-02-15,34089.87109375
2012-02-16,33801.640625
2012-02-17,34082.78125
2012-02-20,34106.0
2012-02-21,34142.37109375
2012-02-22,34006.51953125
2012-02-23,34108.19921875
2012-02-24,34260.76171875
2012-02-27,33871.3203125
2012-02-28,34214.53125
2012-02-29,34296.0
2012-03-01,34298.48046875
2012-03-02,34186.80859375
2012-03-05,34031.76953125
2012-03-06,33387.0390625
2012-03-07,33592.3203125
2012-03-08,33758.62109375
2012-03-09,33926.19921875
2012-03-12,33901.71875
2012-03-13,34175.390625
2012-03-14,34426.73828125
2012-03-15,34215.30078125
2012-03-16,34221.62109375
2012-03-19,34214.0703125
2012-03-20,33878.55859375
2012-03-21,33878.55859375
2012-03-22,33550.890625
2012-03-23,33572.0703125
2012-03-26,33664.4609375
2012-03-27,33858.21875
2012-03-28,33621.9296875
2012-03-29,33483.26171875
2012-03-30,33554.2109375
2012-04-02,33974.62890625
2012-04-03,34192.19140625
2012-04-04,33404.3203125
2012-04-05,33732.19921875
2012-04-10,33617.73828125
2012-04-11,33632.76171875
2012-04-12,33816.9609375
2012-04-13,33705.03125
2012-04-16,33661.2109375
2012-04-17,33777.96875
2012-04-18,34050.23828125
2012-04-19,34106.921875
2012-04-20,34216.55078125
2012-04-23,33703.2109375
2012-04-24,33820.87109375
2012-04-25,34028.80859375
2012-04-26,34251.4296875
2012-04-27,34251.4296875
2012-04-30,34399.0390625
2012-05-01,34399.0390625
2012-05-02,34482.4296875
2012-05-03,34375.51171875
2012-05-04,34127.28125
2012-05-07,33956.078125
2012-05-08,33547.76953125
2012-05-09,33434.0390625
2012-05-10,33869.7109375
2012-05-11,34038.4609375
2012-05-14,33533.55859375
2012-05-15,33486.078125
2012-05-16,33794.71875
2012-05-17,33538.921875
2012-05-18,33148.390625
2012-05-21,33086.0
2012-05-22,33488.140625
2012-05-23,32887.44921875
2012-05-24,33046.12890625
2012-05-25,32992.25
2012-05-28,33104.05859375
2012-05-29,33440.19921875
2012-05-30,32968.80859375
2012-05-31,33142.609375
2012-06-01,33107.4609375
2012-06-06,33603.3515625
2012-06-07,33904.859375
2012-06-08,33665.7109375
2012-06-11,33616.5703125
2012-06-12,33855.4609375
2012-06-13,34037.828125
2012-06-14,33826.01171875
2012-06-15,33959.87109375
2012-06-18,34438.76171875
2012-06-19,34714.05859375
2012-06-20,34788.37109375
2012-06-21,34534.05078125
2012-06-22,34118.87109375
2012-06-25,33821.98046875
