,ABSA,ANGLO,BIDVEST,CAPITEC,DISCOVERY,FIRSTRAND,GOLDFIELDS,MRPRICE,MTN,NASPERS,NEDBANK,SANLAM,SASOL,SHOPRITE,STANDARDBANK,VODACOM,WOOLWORTHS
ABSA,1.0,0.23436765055070383,0.5376231485689114,0.5517015148682856,0.5906735749468809,0.7482450140699795,-0.047779542076419726,0.5119163943286297,0.4004487928130059,0.1561854714174691,0.782400304792373,0.6302399283212147,0.29739850868414486,0.41458433194698374,0.774462007787945,0.35996865014304325,0.513099846008534
ANGLO,0.23436765055070383,1.0,0.1908315443251469,0.22220464069780296,0.23872411664750784,0.2743583931846959,0.18330709461122893,0.20094681001766454,0.25029227931726344,0.24783894406498627,0.25022402485053424,0.2862636398564026,0.3867850732476147,0.15467739930225538,0.27382465975717935,0.15598142919930533,0.19533830202110603
BIDVEST,0.5376231485689114,0.1908315443251469,1.0,0.43041877996579936,0.5054197046123037,0.5570247687667454,0.006331113039809815,0.46076617747642085,0.3309235859134303,0.1660016395565792,0.5531883186491263,0.5418866343383828,0.23924238615365856,0.4303853054190393,0.5650017422864992,0.378542613546352,0.492440306858306
CAPITEC,0.5517015148682856,0.22220464069780296,0.43041877996579936,1.0,0.5130547282902933,0.5869978963727728,0.022908092426729254,0.40106228995314813,0.2865271480716467,0.19694883283882555,0.5395820758779146,0.5226633378725923,0.1913180119885388,0.3023438753592112,0.5729805807784379,0.27475267214081517,0.3806013197437225
DISCOVERY,0.5906735749468809,0.23872411664750784,0.5054197046123037,0.5130547282902933,1.0,0.615859780274174,0.016607779629877202,0.45448569932716526,0.39617165799285836,0.2240635879445369,0.5892117463117719,0.6565407106922505,0.29343901134735856,0.39826265292537794,0.6083917154017934,0.38516223759174567,0.49005520300692335
FIRSTRAND,0.7482450140699795,0.2743583931846959,0.5570247687667454,0.5869978963727728,0.615859780274174,1.0,-0.03612893338050131,0.5393627336509625,0.4205288317486587,0.20243018026126072,0.7433855986466538,0.6909875032719529,0.26574320531491014,0.46333706376795286,0.7846677153083206,0.39469202236601575,0.5183956274231545
GOLDFIELDS,-0.047779542076419726,0.18330709461122893,0.006331113039809815,0.022908092426729254,0.016607779629877202,-0.03612893338050131,1.0,-0.0012908865010101075,0.008927923190501097,0.007923143345874956,-0.03257776275268723,-0.020588565729257633,0.0670013893546681,-0.011037557582213144,-0.04332199095418916,0.03967458011936329,-0.000964175362750472
MRPRICE,0.5119163943286297,0.20094681001766454,0.46076617747642085,0.40106228995314813,0.45448569932716526,0.5393627336509625,-0.0012908865010101075,1.0,0.29615493009352223,0.17718339575891495,0.5151169493634715,0.506696829850939,0.1822897696721517,0.4372986634098975,0.5142673064605303,0.2947938968713745,0.5650970342872245
MTN,0.4004487928130059,0.25029227931726344,0.3309235859134303,0.2865271480716467,0.39617165799285836,0.4205288317486587,0.008927923190501097,0.29615493009352223,1.0,0.15213014100671063,0.42039499082841314,0.42816123415201895,0.3242900321658605,0.285492922263622,0.4393609959806683,0.45154454067846067,0.32854731868243436
NASPERS,0.1561854714174691,0.24783894406498627,0.1660016395565792,0.19694883283882555,0.2240635879445369,0.20243018026126072,0.007923143345874956,0.17718339575891495,0.15213014100671063,1.0,0.1680931999827963,0.25696199784255536,0.14403149094861592,0.14930823378243482,0.2070390941574561,0.15998907329321166,0.1973080469063738
NEDBANK,0.782400304792373,0.25022402485053424,0.5531883186491263,0.5395820758779146,0.5892117463117719,0.7433855986466538,-0.03257776275268723,0.5151169493634715,0.42039499082841314,0.1680931999827963,1.0,0.6446809994924599,0.3553638970169334,0.4123389979199044,0.7968140226422111,0.3534045095690961,0.5280965006970074
SANLAM,0.6302399283212147,0.2862636398564026,0.5418866343383828,0.5226633378725923,0.6565407106922505,0.6909875032719529,-0.020588565729257633,0.506696829850939,0.42816123415201895,0.25696199784255536,0.6446809994924599,1.0,0.26429598287267997,0.4697039683237647,0.6827425084627013,0.4292703755004025,0.5172467587942535
SASOL,0.29739850868414486,0.3867850732476147,0.23924238615365856,0.1913180119885388,0.29343901134735856,0.26574320531491014,0.0670013893546681,0.1822897696721517,0.3242900321658605,0.14403149094861592,0.3553638970169334,0.26429598287267997,1.0,0.16535310117940766,0.3124964152567851,0.1574248617042664,0.228200451350987
SHOPRITE,0.41458433194698374,0.15467739930225538,0.4303853054190393,0.3023438753592112,0.39826265292537794,0.46333706376795286,-0.011037557582213144,0.4372986634098975,0.285492922263622,0.14930823378243482,0.4123389979199044,0.4697039683237647,0.16535310117940766,1.0,0.4595525506458524,0.38290881347984346,0.4882988119861061
STANDARDBANK,0.774462007787945,0.27382465975717935,0.5650017422864992,0.5729805807784379,0.6083917154017934,0.7846677153083206,-0.04332199095418916,0.5142673064605303,0.4393609959806683,0.2070390941574561,0.7968140226422111,0.6827425084627013,0.3124964152567851,0.4595525506458524,1.0,0.3850483824957025,0.5274199684995912
VODACOM,0.35996865014304325,0.15598142919930533,0.378542613546352,0.27475267214081517,0.38516223759174567,0.39469202236601575,0.03967458011936329,0.2947938968713745,0.45154454067846067,0.15998907329321166,0.3534045095690961,0.4292703755004025,0.1574248617042664,0.38290881347984346,0.3850483824957025,1.0,0.34785983968025264
WOOLWORTHS,0.513099846008534,0.19533830202110603,0.492440306858306,0.3806013197437225,0.49005520300692335,0.5183956274231545,-0.000964175362750472,0.5650970342872245,0.32854731868243436,0.1973080469063738,0.5280965006970074,0.5172467587942535,0.228200451350987,0.4882988119861061,0.5274199684995912,0.34785983968025264,1.0
