,Annual Return
ABSA,0.025521098643628694
ANGLO,0.10739562586779075
BIDVEST,0.09657746084370755
CAPITEC,0.22742108833324504
DISCOVERY,0.06738937402489592
FIRSTRAND,0.05358772977528649
GOLDFIELDS,0.23896367075108949
MRPRICE,-0.02641386517750834
MTN,-0.023807837786682547
NASPERS,0.1596289052633962
NEDBANK,0.006692716593583747
SANLAM,0.03146183637794946
SASOL,-0.126906705270315
SHOPRITE,0.04327797325995567
STANDARDBANK,0.06456987023755953
VODACOM,0.009254064454816427
WOOLWORTHS,-0.028676642800765855
