Date,ABSA,ANGLO,BIDVEST,CAPITEC,DISCOVERY,FIRSTRAND,GOLDFIELDS,MRPRICE,MTN,NASPERS,NEDBANK,SANLAM,SASOL,SHOPRITE,STANDARDBANK,VODACOM,WOOLWORTHS
2015-01-01,18063.6953125,20986.671875,8194.2880859375,33930.34765625,10832.1572265625,5027.423828125,5216.8896484375,23399.826171875,22027.14453125,19031.970703125,24723.55078125,6960.45703125,42979.66796875,16774.009765625,14255.0634765625,12758.0234375,7678.58203125
2015-01-02,17854.271484375,20827.8046875,8124.98779296875,33880.45703125,10637.6826171875,4972.744140625,5205.91796875,23110.0703125,21588.412109375,19209.0859375,24266.810546875,6892.841796875,42978.66796875,16824.857421875,14133.853515625,12547.423828125,7593.92919921875
2015-01-05,17244.87109375,19736.2265625,7757.98681640625,32391.513671875,10418.900390625,4744.09130859375,5539.01904296875,22105.369140625,20526.8984375,19003.955078125,23328.509765625,6517.9716796875,40387.99609375,16131.9208984375,13438.390625,12082.521484375,7310.0888671875
2015-01-06,17694.482421875,20134.849609375,7884.72509765625,32325.65234375,10793.2607421875,4839.52978515625,6023.70751953125,22574.359375,21135.751953125,19960.384765625,24302.560546875,6622.37841796875,39937.26171875,16829.841796875,13968.9267578125,12263.318359375,7589.9443359375
2015-01-07,18063.6953125,20034.45703125,7991.23828125,32932.40625,10784.5126953125,4935.9619140625,6054.62255859375,22897.974609375,20756.70703125,20726.244140625,24442.560546875,6652.208984375,40228.43359375,17247.59765625,14290.828125,12665.6357421875,7718.4189453125
2015-01-08,18530.177734375,20082.220703125,8012.81103515625,32932.40625,11148.17578125,5001.57568359375,6188.26220703125,23490.443359375,20742.78125,21193.77734375,24905.25390625,6662.15185546875,38702.75,17942.525390625,14505.4326171875,12761.0048828125,7867.8076171875
2015-01-09,18032.927734375,19767.41015625,7810.0302734375,32871.52734375,10835.0732421875,4870.3486328125,6144.380859375,23350.04296875,20312.0078125,21044.55078125,24259.865234375,6457.31640625,38890.21484375,17153.876953125,14190.482421875,12408.349609375,7720.41162109375
2015-01-12,17666.6953125,19257.677734375,7773.3583984375,32591.099609375,10696.02734375,4792.80419921875,6726.80615234375,23453.6015625,19885.212890625,20256.07421875,23631.345703125,6353.90234375,38072.5234375,17168.833984375,14083.1826171875,12571.2666015625,7569.02978515625
2015-01-13,18336.630859375,19472.09765625,7948.90380859375,33055.1484375,11114.1455078125,4933.9736328125,6700.87646484375,24505.09765625,20240.376953125,20914.6640625,24532.912109375,6496.09619140625,38291.91796875,17414.1015625,14505.4326171875,12879.21484375,7654.68017578125
2015-01-14,17981.31640625,17759.681640625,7712.14599609375,32134.037109375,11048.0234375,4814.67529296875,6350.822265625,24003.248046875,19710.1171875,20267.505859375,23892.486328125,6359.86962890625,36407.22265625,17249.59765625,13919.25390625,12705.3740234375,7534.173828125
2015-01-15,18034.91015625,18057.9140625,7896.8603515625,32832.6015625,11182.2080078125,4863.3876953125,6553.2744140625,24554.8828125,20742.78125,20005.47265625,24004.681640625,6362.8515625,36797.12890625,17378.208984375,13852.6845703125,12814.6455078125,7793.11376953125
