,ABSA,ANGLO,BIDVEST,CAPITEC,DISCOVERY,FIRSTRAND,GOLDFIELDS,MRPRICE,MTN,NASPERS,NEDBANK,SANLAM,SASOL,SHOPRITE,STANDARDBANK,VODACOM,WOOLWORTHS
ABSA,0.1150098819343929,0.03289475993880237,0.05290772166101104,0.06305371121014307,0.06380620121262259,0.07943424127091464,-0.008535934835193873,0.06256251489035702,0.055152233378202555,0.019702472281746212,0.087713892307233,0.06425252152531089,0.05612837455741364,0.0413889709395336,0.08097072976128726,0.02899972448758704,0.05383757481008605
ANGLO,0.03289475993880237,0.17610057260463557,0.02330641970006634,0.03151692945413753,0.032003386744240706,0.03614651805435948,0.04064177616993576,0.030477586610302185,0.04278069800330594,0.0388001978713043,0.03481389984883747,0.036218857666111125,0.09059363432214572,0.019163856171483806,0.03552914776928716,0.015595036142489504,0.025436380335116485
BIDVEST,0.05290772166101104,0.02330641970006634,0.08754679717004592,0.042804953750097,0.04750768405821332,0.051455851598352684,0.0009842048905307013,0.04899955041775251,0.03965885576960423,0.018221696678807384,0.05396456942217356,0.0480716516687172,0.03928964886870664,0.037387422126467784,0.051401295608479544,0.0265362965445409,0.044960749288892175
CAPITEC,0.06305371121014307,0.03151692945413753,0.042804953750097,0.11741086311865649,0.05600680020355065,0.06297413122156895,0.004135802147264772,0.0495323244476758,0.039878940540770166,0.025107023189460714,0.06113059272714449,0.05384780678291376,0.036488940925465424,0.030502444020558073,0.06053820766788337,0.02236829270508952,0.040356696956395814
DISCOVERY,0.06380620121262259,0.032003386744240706,0.04750768405821332,0.05600680020355065,0.10509225221813338,0.06244768634645767,0.002833944046090322,0.053052514440419356,0.0521158838953126,0.02699740168905018,0.06309302618694133,0.06393173822267323,0.05289713124777193,0.03797623583315633,0.060754970886077,0.029637630777571897,0.04911330930558414
FIRSTRAND,0.07943424127091464,0.03614651805435948,0.051455851598352684,0.06297413122156895,0.06244768634645767,0.10156585608479139,-0.006058755278847019,0.06187500674747036,0.05436645991384517,0.023970357833299934,0.07822988264257534,0.06612620784494894,0.04707875952804273,0.043419812995026764,0.07700747488751783,0.029847413608446605,0.05105803499255948
GOLDFIELDS,-0.008535934835193873,0.04064177616993576,0.0009842048905307013,0.004135802147264772,0.002833944046090322,-0.006058755278847019,0.2841252185565131,-0.0002492112078613874,0.0019423653008308276,0.0015788539446469128,-0.005769324665624844,-0.0033156960027955974,0.019975232286681802,-0.0017406404694967903,-0.007154852644631978,0.005049005949806133,-0.00015981001219114095
MRPRICE,0.06256251489035702,0.030477586610302185,0.04899955041775251,0.0495323244476758,0.053052514440419356,0.06187500674747036,-0.0002492112078613874,0.13397886909559076,0.04407633595779491,0.024153135408469875,0.06240445796519594,0.055821673440660455,0.03717717435554247,0.04717591109663555,0.05810148792156662,0.025663629887857566,0.06407329153977707
MTN,0.055152233378202555,0.04278069800330594,0.03965885576960423,0.039878940540770166,0.0521158838953126,0.05436645991384517,0.0019423653008308276,0.04407633595779491,0.16963554136102682,0.023370430808564036,0.05739423384662634,0.053157306047713446,0.0745330059483963,0.03470870797557686,0.05593978510978122,0.04429973683412724,0.04198101060594942
NASPERS,0.019702472281746212,0.0388001978713043,0.018221696678807384,0.025107023189460714,0.02699740168905018,0.023970357833299934,0.0015788539446469128,0.024153135408469875,0.023370430808564036,0.14262144048347028,0.021019619621198603,0.029220557479809315,0.030320507824583193,0.016626117175703035,0.024144356219009497,0.01437655567838112,0.023092116346823188
NEDBANK,0.087713892307233,0.03481389984883747,0.05396456942217356,0.06113059272714449,0.06309302618694133,0.07822988264257534,-0.005769324665624844,0.06240445796519594,0.05739423384662634,0.021019619621198603,0.11304521387215889,0.06515139926377563,0.06648315151066604,0.040805694132765614,0.08258088243769131,0.02822252683420691,0.05492771199735123
SANLAM,0.06425252152531089,0.036218857666111125,0.0480716516687172,0.05384780678291376,0.06393173822267323,0.06612620784494894,-0.0033156960027955974,0.055821673440660455,0.053157306047713446,0.029220557479809315,0.06515139926377563,0.09381627666613164,0.04496491180983832,0.04227031434764532,0.06434641917921426,0.03117450852182453,0.04892387935569557
SASOL,0.05612837455741364,0.09059363432214572,0.03928964886870664,0.036488940925465424,0.05289713124777193,0.04707875952804273,0.019975232286681802,0.03717717435554247,0.0745330059483963,0.030320507824583193,0.06648315151066604,0.04496491180983832,0.31686524667067634,0.02754755190359641,0.05452201495132498,0.02116417943496137,0.039957565961174404
SHOPRITE,0.0413889709395336,0.019163856171483806,0.037387422126467784,0.030502444020558073,0.03797623583315633,0.043419812995026764,-0.0017406404694967903,0.04717591109663555,0.03470870797557686,0.016626117175703035,0.040805694132765614,0.04227031434764532,0.02754755190359641,0.09003944864551099,0.04241213186625977,0.02723024454187349,0.045226841394312586
STANDARDBANK,0.08097072976128726,0.03552914776928716,0.051401295608479544,0.06053820766788337,0.060754970886077,0.07700747488751783,-0.007154852644631978,0.05810148792156662,0.05593978510978122,0.024144356219009497,0.08258088243769131,0.06434641917921426,0.05452201495132498,0.04241213186625977,0.09856658971873869,0.02867660104806143,0.051159153640828355
VODACOM,0.02899972448758704,0.015595036142489504,0.0265362965445409,0.02236829270508952,0.029637630777571897,0.029847413608446605,0.005049005949806133,0.025663629887857566,0.04429973683412724,0.01437655567838112,0.02822252683420691,0.03117450852182453,0.02116417943496137,0.02723024454187349,0.02867660104806143,0.05930154382275742,0.025999939163169943
WOOLWORTHS,0.05383757481008605,0.025436380335116485,0.044960749288892175,0.040356696956395814,0.04911330930558414,0.05105803499255948,-0.00015981001219114095,0.06407329153977707,0.04198101060594942,0.023092116346823188,0.05492771199735123,0.04892387935569557,0.039957565961174404,0.045226841394312586,0.051159153640828355,0.025999939163169943,0.09926150263209452
