Price,Close,High,Low,Open,Volume
Ticker,ABG.JO,ABG.JO,ABG.JO,ABG.JO,ABG.JO
Date,,,,,
2015-01-01,18063.6953125,18063.6953125,18063.6953125,18063.6953125,0
2015-01-02,17854.271484375,18263.185812662425,17854.271484375,17861.219057913866,334152
2015-01-05,17244.87109375,17900.920578237412,17062.249149505395,17825.489775179856,727355
2015-01-06,17694.482421875,17885.044494176997,17072.17815451379,17215.099708740287,960335
2015-01-07,18063.6953125,18197.684261246566,17498.95670630151,17509.87432434753,808879
2015-01-08,18530.177734375,18534.147777810325,17891.00074128783,18158.9786731722,753715
2015-01-09,18032.927734375,18559.950940217543,18032.927734375,18496.430252507707,716987
2015-01-12,17666.6953125,18213.56885840941,17645.852582075142,18032.93186139396,521450
2015-01-13,18336.630859375,18457.717136227166,17718.29683905616,18062.697970758625,1338497
2015-01-14,17981.31640625,18336.63523792398,17756.016476669014,18091.485094282994,2319563
2015-01-15,18034.91015625,18412.064185162828,17810.602760107107,18412.064185162828,1293678
2015-01-16,17939.62890625,18212.569318378282,17837.40031552559,17910.846099152834,833765
2015-01-19,17982.306640625,18104.385441640392,17815.564863628366,18014.06697910055,396144
2015-01-20,17938.642578125,18112.331991158742,17775.87078533909,18068.661510167403,844698
2015-01-21,18073.62109375,18073.62109375,17538.657789547295,17864.201321603858,1484450
2015-01-22,18450.76953125,18697.904636859534,17996.199738602743,18033.915136245967,983762
2015-01-23,18721.728515625,18725.69855825144,18340.60442348695,18583.76953435628,857514
2015-01-26,18978.791015625,18978.791015625,18412.06736381442,18416.037406909418,1108630
2015-01-27,19553.451171875,19553.451171875,18992.682687427034,19035.360642880598,1764011
2015-01-28,19800.58984375,20218.436877545428,19202.105849976502,19202.105849976502,2432123
2015-01-29,19602.0859375,19797.61054153481,19562.38551028481,19602.0859375,3198796
2015-01-30,19742.029296875,19857.16053202846,19502.834230737204,19602.08529552467,1357325
2015-02-02,18852.7421875,19801.582489224136,18552.011422413794,19650.720851293103,2566873
2015-02-03,19144.537109375,19437.327738607495,18819.986140700334,19055.211154693898,2863372
2015-02-04,18592.701171875,19144.53706850461,18518.262876466328,19115.75426094659,1833594
2015-02-05,18420.998046875,18686.990906603583,18064.686716119173,18686.990906603583,2472022
2015-02-06,19054.220703125,19151.486753177414,18214.55663838681,18479.556999243898,1154188
2015-02-09,18781.27734375,19085.978085943694,18692.943903830655,18772.344748701977,963922
2015-02-10,18653.244140625,18942.064724051725,18490.472402886226,18942.064724051725,974393
2015-02-11,18581.78515625,18857.70312833832,18579.80013486807,18815.025168626817,592314
2015-02-12,18559.953125,18758.455297459896,18396.18883272059,18581.78836397059,1829694
2015-02-13,18460.701171875,18722.724027217744,18282.049225050403,18666.15091072329,1678711
2015-02-16,18361.44921875,18707.835476984797,18268.15320650338,18636.37470164696,1117582
2015-02-17,18412.064453125,18546.05338639932,18290.97815786969,18361.446411665813,1663218
2015-02-18,18796.169921875,18857.705592756625,18510.326805521636,18510.326805521636,1043180
2015-02-19,19046.28125,19054.22133598228,18642.32937565138,18748.528025664407,776987
2015-02-20,18857.705078125,19135.608100328947,18580.794566714638,19045.289618112663,803767
2015-02-23,18859.6875,19034.369375592043,18611.55983580676,18890.45533035996,560212
2015-02-24,18827.9296875,19191.18863666315,18560.944284972986,18835.86977382051,945781
2015-02-25,19318.22265625,19453.20407226161,18827.92251279606,18827.92251279606,1800297
2015-02-26,19324.181640625,19393.65738355483,18957.945224323477,19392.664872941546,898644
2015-02-27,19128.654296875,19309.291202495882,18885.48923161612,18964.890069251673,1282268
2015-03-02,18907.326171875,19233.862146181924,18857.70064386483,19233.862146181924,542171
2015-03-03,18287.0078125,19241.803010091586,18009.104844386024,18969.855105580053,2364351
2015-03-04,18559.953125,18758.455297459896,18288.005148729946,18507.35004929813,1169113
2015-03-05,18472.607421875,18701.8773721465,18336.633468683678,18369.386318722463,2328270
2015-03-06,18090.490234375,18506.352164928747,17859.23527060645,18479.554379427667,2661380
2015-03-09,17657.76171875,17933.67975358854,17542.630452414494,17933.67975358854,1479912
2015-03-10,17359.009765625,17790.751860996465,17262.736240909984,17572.39953690055,1426492
2015-03-11,17249.833984375,17453.298654501403,17192.268370388018,17345.115000629317,1312987
2015-03-12,17468.189453125,18091.48621315696,17092.027873424184,17272.664832541726,2817742
2015-03-13,17269.68359375,17666.687814295976,17150.582327586206,17557.511653645834,1325033
2015-03-16,17760.982421875,17811.600477394175,17172.42346260303,17357.03048861414,991969
2015-03-17,17896.94921875,18073.616086592585,17622.023812051146,18063.690981657608,1400246
2015-03-18,17974.36328125,17987.265916404955,17536.666196378035,17896.947470320265,916167
2015-03-19,18285.021484375,18329.684458201027,17979.32824129909,18009.103557183105,3277341
2015-03-20,17865.19140625,18328.69387217882,17733.187491970486,18328.69387217882,1314893
2015-03-23,17772.884765625,17878.09087413878,17472.15409694882,17791.742464320865,1278456
2015-03-24,18515.291015625,18515.291015625,17583.32327165974,17689.52193896995,1026921
2015-03-25,18217.533203125,18553.994317582063,18129.199754196743,18351.522142510556,1233418
2015-03-26,18202.650390625,18311.826592531692,17807.631041908055,18063.69886092557,2128390
2015-03-27,18162.94140625,18260.207431267077,17769.907264344263,18212.566929217897,702477
2015-03-30,18401.1484375,18510.32461485302,18210.58638248382,18242.346724986517,935797
2015-03-31,18361.44921875,18498.41570481419,18182.797280405404,18460.70029560811,1802402
2015-04-01,18850.75390625,18878.544203168603,18162.94405751461,18361.446178361766,1317822
2015-04-02,18824.951171875,19151.487204750356,18550.02569738724,18850.7564510688,944098
2015-04-03,18824.951171875,18824.951171875,18824.951171875,18824.951171875,0
2015-04-06,18824.951171875,18824.951171875,18824.951171875,18824.951171875,0
2015-04-07,18956.958984375,19650.72413254663,18852.745335508018,18857.70789021597,2470653
2015-04-08,19304.333984375,19304.333984375,18672.10464000241,19104.839324690714,1692480
2015-04-09,19026.42578125,19406.557292685513,18868.616615928207,19169.347289465964,2300958
2015-04-10,18976.802734375,19215.00527915795,18809.06844242367,18957.945032913016,1148033
2015-04-13,18316.8515625,18593.838098323173,18132.193871951218,18544.198934197153,1569414
2015-04-14,18367.482421875,18460.804044903824,18089.503119235953,18225.514420884345,942770
2015-04-15,18178.85546875,18463.784283098274,18178.85546875,18366.491517223254,868719
2015-04-16,18316.8515625,18316.8515625,18158.006237296748,18315.85877921748,1068547
2015-04-17,18336.701171875,18464.770173021283,18073.613688900074,18316.84551278255,955589
2015-04-20,18367.482421875,18554.125667932643,18355.56902319047,18468.74631069351,701416
2015-04-21,18912.51953125,19144.830794783466,18465.767101377955,18554.12480417487,2760508
2015-04-22,18819.201171875,19094.20215966828,18732.829020474222,18907.558889974647,776931
2015-04-23,18937.341796875,19093.20877785059,18813.243882085517,19028.677862160057,670855
2015-04-24,18862.8828125,19101.150805921054,18712.97253330592,18763.604481907896,859670
2015-04-27,18862.8828125,18862.8828125,18862.8828125,18862.8828125,0
2015-04-28,19061.4375,19169.650869140627,18677.230400390625,18678.22318359375,1814993
2015-04-29,18961.169921875,19248.084320923215,18883.732817633612,19247.091537535507,1262382
2015-04-30,18920.466796875,19082.290497572376,18853.9503064043,19081.297714132517,994374
2015-05-01,18920.466796875,18920.466796875,18920.466796875,18920.466796875,0
2015-05-04,18625.60546875,19125.96819761573,18475.69520672872,19016.7620464744,727193
2015-05-05,18793.38671875,18876.780510845878,18595.822854141905,18802.32176790313,869582
2015-05-06,18664.328125,18760.628115857715,18488.605461269948,18679.219876163566,607553
2015-05-07,18275.15234375,18640.49654531997,18018.021506232006,18475.694541350906,969900
2015-05-08,18487.609375,18617.663978593868,18168.92595703335,18361.5259043403,909334
2015-05-11,18167.93359375,18673.260271302937,18167.93359375,18466.76135395321,1269309
2015-05-12,18158.005859375,18296.995516035062,17944.557458075622,18148.078026756426,838519
2015-05-13,17969.376953125,18157.01298871288,17892.93264232994,18144.106806370855,681025
2015-05-14,17722.169921875,18035.88936029932,17671.537987192594,17923.704877571636,1273223
2015-05-15,18445.912109375,18713.963577056984,17668.562853097246,17672.533985951795,1293701
2015-05-18,18540.234375,18568.03231676707,18255.30547188755,18568.03231676707,723505
2015-05-19,18375.427734375,18662.342133598857,18215.58960885583,18358.550416773596,515646
2015-05-20,18277.140625,18355.57050600896,18138.15096245247,18179.84786121673,518182
2015-05-21,18118.29296875,18364.503196489724,18021.993000642124,18277.138276969177,383620
2015-05-22,18078.5859375,18336.709624691102,17993.20656404448,18113.333356929572,494338
2015-05-25,18144.107421875,18341.671296735643,17974.34147915555,18245.371317532212,222532
2015-05-26,17725.154296875,18224.524332235596,17704.305846094536,18147.08722933674,610749
2015-05-27,18117.30078125,18117.30078125,17288.326801725438,17725.151413690477,1765158
2015-05-28,17696.365234375,18068.65903313464,17572.26730145512,17875.06625777963,1016268
2015-05-29,17446.181640625,17733.096025996914,17446.181640625,17625.875425235092,1258617
2015-06-01,17646.724609375,17818.476134405766,17394.557630428095,17588.150389855837,809887
2015-06-02,17741.0390625,17786.707098139337,17246.632937534974,17549.431869491465,1145618
2015-06-03,17542.4765625,17691.39402058574,17269.461222676146,17580.20231854839,1055435
2015-06-04,17477.95703125,17596.09829150099,16878.315676698734,17331.025043710946,1629510
2015-06-05,17593.115234375,17701.328628683834,17351.868859906677,17472.98843885785,844808
2015-06-08,17870.099609375,17971.36350716146,17602.048115234375,17731.109945746528,898515
2015-06-09,17870.099609375,18034.9016391059,17648.708930881076,17869.10682606337,1370492
2015-06-10,18026.958984375,18108.36721417557,17888.962107030133,17990.226002635718,912302
2015-06-11,18215.5859375,18306.921990816438,18012.065383914458,18108.36535317201,1010905
2015-06-12,17832.375,18166.942997717404,17774.79356419107,18098.440944772297,686713
2015-06-15,17599.0703125,18039.86611657006,17450.15281112498,17691.39916335251,973945
2015-06-16,17599.0703125,17599.0703125,17599.0703125,17599.0703125,0
2015-06-17,17369.736328125,17686.434195561662,17325.061080367475,17686.434195561662,1039830
2015-06-18,17579.2109375,17636.792359218813,17169.191503536735,17333.99350362851,2855710
2015-06-19,17258.54296875,17547.44287693605,17258.54296875,17472.98413771284,1152938
2015-06-22,17665.5859375,17758.90756715747,17146.360274618553,17361.79424946611,1374237
2015-06-23,17895.91015625,18113.32967939539,17693.382381265255,17693.382381265255,1160414
2015-06-24,17870.099609375,18166.94181955295,17651.68728081597,17867.121259440104,866710
2015-06-25,18068.66015625,18306.92820226648,17782.73850103022,17870.103451236264,1085806
2015-06-26,17948.53125,18135.17453087837,17771.81580321091,18090.499277476632,672498
2015-06-29,17606.021484375,17955.48125444943,17481.923554661065,17618.927669065248,813183
2015-06-30,18165.94921875,18236.436834584038,17695.369924308667,17843.29463922799,1580077
2015-07-01,17988.240234375,18250.335020062677,17867.120674322363,18224.522654805558,891804
2015-07-02,18076.59765625,18232.464628571575,17820.459574345754,18104.395587619452,628213
2015-07-03,18148.072265625,18193.74028117307,17947.530110392163,17958.450722805832,473691
2015-07-06,18145.103515625,18342.667426529926,17527.592196113113,18148.08186604065,848201
2015-07-07,17756.921875,18316.85164898524,17539.502335101475,18069.64861047048,912387
2015-07-08,18068.66015625,18264.23851068853,17458.09828833276,17528.585918612636,1918952
2015-07-09,18416.130859375,18562.07000958137,17980.298975425372,18112.33915894542,1003586
2015-07-10,18722.900390625,18856.926137098002,18514.41589611144,18594.83134399524,1165366
2015-07-13,18707.013671875,18866.851765658997,18370.460170056518,18793.38580950983,967489
2015-07-14,18689.146484375,18916.49387055943,18498.532081984562,18763.605235308765,726747
2015-07-15,18555.115234375,18932.37279398241,18400.241078325642,18686.162597185994,1334803
2015-07-16,18626.599609375,18789.416064760222,18368.475960593554,18788.423281495678,1305876
2015-07-17,18601.783203125,18851.96462849659,18498.533725987516,18752.686285095166,1846566
2015-07-20,18783.458984375,18870.823909883722,18527.32090731534,18694.108492377443,597009
2015-07-21,19014.77734375,19014.77734375,18708.007323428443,18779.48771651308,1634244
2015-07-22,18687.162109375,19029.672385512404,18439.95904051061,18936.350745057574,1724175
2015-07-23,18832.10546875,18962.160074496547,18563.061208007144,18763.60342450182,2116694
2015-07-24,18598.798828125,19029.666698916408,18373.43706160507,18763.60082478715,969034
2015-07-27,18677.23046875,18846.003613898964,18350.604793726412,18428.041883853584,1029521
2015-07-28,18555.115234375,19229.214926410346,18231.467959553906,18962.156285530364,1254539
2015-07-29,18195.73046875,18850.96737999918,17920.729522665115,18641.490125039214,2336228
2015-07-30,18296.99609375,18418.115655520887,18118.295100973275,18337.700208771363,1202375
2015-07-31,18484.63671875,18673.26559122234,18119.29237627726,18290.051145041693,1689700
2015-08-03,18302.951171875,18535.262441902054,18207.643984171595,18367.48208021585,734506
