Price,Close,High,Low,Open,Volume
Ticker,AGL.JO,AGL.JO,AGL.JO,AGL.JO,AGL.JO
Date,,,,,
2015-01-01,20986.671875,20986.671875,20986.671875,20986.671875,0
2015-01-02,20827.8046875,21441.820465086068,20821.957733005875,21047.097564418287,705047
2015-01-05,19736.2265625,21031.507090559342,19805.423639031687,20826.834477646607,3819037
2015-01-06,20134.849609375,20175.784134910773,19690.41872895708,19959.417595177376,1896958
2015-01-07,20034.45703125,20269.342419813383,19751.814063682785,19887.287621125688,1911957
2015-01-08,20082.220703125,20270.322738032206,19736.22752578669,20270.322738032206,788046
2015-01-09,19767.41015625,20266.419633810514,19726.475640729375,20266.419633810514,3616198
2015-01-12,19257.677734375,19779.10471677002,19228.43907440724,19731.347136968987,1873656
2015-01-13,19472.09765625,19685.541643592802,19200.17828805652,19286.920107620543,1929615
2015-01-14,17759.681640625,18956.524627990042,17571.577647314152,18956.524627990042,5887711
2015-01-15,18057.9140625,18323.014276622787,17645.64635308175,18079.355491174036,4182415
2015-01-16,18638.791015625,18687.52276846689,17762.601410651878,17923.41502836138,1909636
2015-01-19,18741.126953125,18938.97646591732,18435.094195517137,18723.58414465715,1365863
2015-01-20,19248.912109375,19493.54509158604,18741.131108456804,18781.091465002883,3091346
2015-01-21,18819.095703125,19535.447726325234,18676.799077880187,19347.34380277188,1516399
2015-01-22,19346.373046875,19870.72262142193,18976.014033046904,19109.53733393713,1918757
2015-01-23,18578.369140625,19443.839180855368,18323.01641479111,19345.40148671461,3248680
2015-01-26,18503.322265625,18517.94257306751,17776.250234833933,18323.01745534052,2001159
2015-01-27,18558.875,19010.1269756309,18372.721310028785,18741.130071391035,1927320
2015-01-28,18938.974609375,19391.202578411718,18615.39907501862,18712.86062485664,2481036
2015-01-29,18822.0234375,19209.925260621127,18687.524023954036,18810.327582698435,1906555
2015-01-30,19102.71875,19458.457506482566,18740.1569245181,18907.793643708657,1801392
2015-02-02,19110.513671875,19275.22592089999,18661.210063259572,19005.25292167468,2832672
2015-02-03,19774.232421875,19862.922572275053,19043.26007118679,19253.77959485079,2240977
2015-02-04,19295.693359375,20028.61416588929,19218.69710517302,19872.67332053118,2242149
2015-02-05,19459.427734375,19589.054352422256,19112.460454327713,19376.5845323664,2093138
2015-02-06,19652.408203125,19940.89821245472,19453.58448047977,19704.064415382887,1459470
2015-02-09,19977.93359375,19977.93359375,19412.649446167838,19606.600376401468,1010795
2015-02-10,19883.39453125,20321.002321271997,19743.048148951417,20194.302076452583,2279190
2015-02-11,19642.662109375,19978.907758883226,19612.449273236656,19884.370631826332,1502481
2015-02-12,20466.2265625,20516.906668171807,19721.609732140514,19835.641914350574,2487636
2015-02-13,21181.599609375,21279.063131354862,20480.841864127222,20480.841864127222,2860457
2015-02-16,21314.146484375,21441.822829010944,20837.55450155924,21198.165994464547,2602188
2015-02-17,21431.10546875,22090.928693359765,20955.485657080633,21314.148852946084,2778279
2015-02-18,21633.822265625,22075.328564696243,21295.6264183108,21583.142180277544,2861306
2015-02-19,21284.908203125,21846.29562892312,21268.33956141082,21781.969398998408,1363178
2015-02-20,21750.783203125,21831.678084993928,21300.505370053597,21344.36434549853,1335472
2015-02-23,21130.9140625,21774.168475022918,20969.12629106824,21685.478326227225,2068938
2015-02-24,21238.130859375,21651.372814153237,20831.710029633752,21178.679349111007,1776653
2015-02-25,21243.974609375,21544.16045469929,21198.167300547168,21393.094335752725,1788996
2015-02-26,21247.87109375,21685.480766052988,20981.798672979505,21130.916439931927,1409871
2015-02-27,21426.23046875,21685.4817782996,20881.41169019979,21341.436979660313,2222668
2015-03-02,21012.984375,21772.22124284232,20955.481220054342,21426.22814481793,1759674
2015-03-03,21317.07421875,21353.135956931405,20848.277455736665,21012.989726825224,1066191
2015-03-04,20694.28125,21358.977109797936,20572.453819279526,21051.970195490383,1633890
2015-03-05,20359.986328125,20661.14632225275,20010.0945783844,20661.14632225275,1791039
2015-03-06,20053.953125,20359.98589935455,19870.721961088188,20359.98589935455,1771711
2015-03-09,19926.275390625,20145.566326487497,19638.759614220842,19870.72057205642,2489046
2015-03-10,19857.078125,20197.22235587033,19687.49309378566,20054.92765215806,3330388
2015-03-11,19151.44921875,19858.05389659576,19008.178390581746,19832.71384837925,5280064
2015-03-12,19415.5703125,19864.87387531778,19366.838560687393,19395.10305451662,2071244
2015-03-13,18856.1328125,19492.56418838831,18658.283304460114,19425.315461244994,1540285
2015-03-16,18134.900390625,18542.448425880884,17967.202632373974,18520.0244042004,3304804
2015-03-17,18348.421875,18505.39583883996,18039.348564767428,18222.648575108706,1908944
2015-03-18,18208.0234375,18570.72144315565,18056.89862008394,18350.37355415712,1123308
2015-03-19,18573.646484375,18995.818314831493,18489.795671854034,18701.370799492073,6444271
2015-03-20,18981.193359375,19040.66719062866,18038.373143076595,18524.89534264067,2452739
2015-03-23,19224.943359375,19324.392561499477,18963.64362499748,19148.892710870117,2240614
2015-03-24,19023.123046875,19485.27034291831,18936.348612032492,19019.222962995616,1627741
2015-03-25,18925.6171875,18990.942113894776,18645.793547964513,18709.16940559689,1560978
2015-03-26,18648.71875,19404.33884904585,18631.169350750682,18719.892826538744,2671429
2015-03-27,18093.9453125,18719.89201353911,17956.47178238683,18719.89201353911,2134335
2015-03-30,18597.048828125,18710.149313823575,18065.678454918194,18125.15230175078,2343006
