Price,Close,High,Low,Open,Volume
Ticker,CPI.JO,CPI.JO,CPI.JO,CPI.JO,CPI.JO
Date,,,,,
2015-01-01,33930.34765625,33930.34765625,33930.34765625,33930.34765625,0
2015-01-02,33880.45703125,34085.03711052559,33605.02238793262,33813.5942736331,55621
2015-01-05,32391.513671875,33869.48002063484,32057.199879279087,33868.482069015154,74560
2015-01-06,32325.65234375,32831.613869382294,32134.045612149606,32202.904281318497,135251
2015-01-07,32932.40625,33426.39234375,31939.444303977274,32325.651613636364,144815
2015-01-08,32932.40625,33033.19937215909,32583.12315340909,32591.106767045454,110075
2015-01-09,32871.52734375,33046.168871578906,32390.51467852982,32888.4925207391,88944
2015-01-12,32591.099609375,32937.38877480011,32433.423274685756,32913.4379391511,93711
2015-01-13,33055.1484375,33191.8677967349,32436.418490597545,32591.10097732316,111428
2015-01-14,32134.037109375,33371.49692352484,32134.037109375,32776.7178515625,127619
2015-01-15,32832.6015625,32872.51961911094,31834.650147226443,32180.939288326368,56897
2015-01-16,32533.216796875,32982.294942844135,31955.40291572805,32183.933794454562,69511
2015-01-19,32932.40625,33331.58693181818,32667.949048295453,32733.813860795457,110852
2015-01-20,33031.1953125,33128.99455539631,32440.408049289632,32907.44933169242,132336
2015-01-21,33022.2109375,33427.37919499849,32495.292612477337,33061.13104105281,39684
2015-01-22,34429.32421875,34626.918601222824,33429.37688926631,33429.37688926631,120892
2015-01-23,35507.1171875,36214.66485714411,34429.329481977235,34494.19633462444,207706
2015-01-26,36525.02734375,36623.824548860146,35627.868885224554,36124.84876547558,144988
2015-01-27,37145.7421875,37256.5147785164,35927.24368631958,36526.0144485704,252354
2015-01-28,37922.15234375,38227.525465254934,36970.10672964638,37223.586379523025,88321
2015-01-29,37922.15234375,37922.15234375,37422.17870363898,37422.17870363898,60433
2015-01-30,38221.546875,38635.696795447126,37767.47888993146,37922.161390339425,310713
2015-02-02,39048.83984375,39048.83984375,38122.74095609634,38421.12842097613,211749
2015-02-03,37922.15234375,39417.083507195726,37622.76693050987,39417.083507195726,166714
2015-02-04,37963.08203125,38421.14187858166,37482.069293964894,37928.153720451286,108763
2015-02-05,37622.7734375,37921.160950969825,37340.35314883123,37920.16299941976,61394
2015-02-06,37622.7734375,37722.56859250663,37123.797662466844,37522.978282493365,178406
2015-02-09,38371.234375,38646.66898325748,37256.52257274057,37657.69906737647,138727
