Price,Close,High,Low,Open,Volume
Ticker,DSY.JO,DSY.JO,DSY.JO,DSY.JO,DSY.JO
Date,,,,,
2015-01-01,10832.1572265625,10832.1572265625,10832.1572265625,10832.1572265625,0
2015-01-02,10637.6826171875,10939.116611025229,10637.6826171875,10833.128208399248,304280
2015-01-05,10418.900390625,10770.896535971797,10373.198398387669,10682.410799800997,1027382
2015-01-06,10793.2607421875,10793.2607421875,10309.994167254466,10418.899832919828,807994
2015-01-07,10784.5126953125,10787.429969130055,10558.923841664142,10715.474449699668,988543
2015-01-08,11148.17578125,11148.17578125,10712.555980565174,10841.880624133333,886006
2015-01-09,10835.0732421875,11143.313236427122,10835.0732421875,11110.252758482793,976098
2015-01-12,10696.02734375,10985.792304688202,10613.376133368218,10984.819880133675,629212
2015-01-13,11114.1455078125,11132.62060060159,10696.028272188085,10835.07621739968,1060981
2015-01-14,11048.0234375,11210.408582582293,10890.500415129929,10890.500415129929,1197553
2015-01-15,11182.2080078125,11281.389439403343,10598.788510466651,11131.644867667144,776049
2015-01-16,11340.70703125,11418.496127240316,10986.765912981033,10987.73833764033,1064211
2015-01-19,11447.6640625,11557.541194154184,11348.482624081029,11351.39989733167,592502
2015-01-20,11205.5458984375,11571.156050365365,11205.5458984375,11488.504845151634,1029996
2015-01-21,11269.720703125,11304.726030127355,11182.208360969544,11230.826653950497,965445
2015-01-22,11060.6611328125,11357.232985572933,10953.701288142518,11279.443918962916,1266669
2015-01-23,11114.1455078125,11334.872245941246,11017.881320662005,11187.072478979228,1163446
2015-01-26,11171.513671875,11177.34821919249,11036.355437175243,11114.144524655427,2453926
2015-01-27,11240.55078125,11325.146832077584,11137.47964112899,11182.209215355395,900328
2015-01-28,11337.7900390625,11375.712651016247,11154.984927428772,11279.448459457415,664496
2015-01-29,11307.64453125,11359.180102969516,11213.325208187198,11356.262829510773,503014
2015-01-30,11211.380859375,11337.788245422167,11141.37019464401,11230.828374617005,970216
2015-02-02,11130.6748046875,11273.612436298348,11042.189046823294,11179.293106447349,606401
2015-02-03,11278.4736328125,11347.510893882214,11162.761947578025,11248.329449395522,682945
2015-02-04,11228.8818359375,11308.615758616565,11057.744897979677,11306.670909849949,1018756
2015-02-05,11380.5712890625,11439.886255619687,11094.696051487077,11094.696051487077,1400825
2015-02-06,11605.1884765625,11668.39216463608,11381.54353182079,11434.051526256695,1198307
2015-02-09,11512.8115234375,11632.412888107432,11376.680895922927,11632.412888107432,705917
2015-02-10,11563.375,11582.822511741486,11371.819106349727,11524.479976517026,764555
2015-02-11,11571.1572265625,11655.752314012143,11473.920619409459,11570.18480196993,1837839
2015-02-12,11600.326171875,11629.49695431939,11494.33776021643,11571.155389430609,944868
2015-02-13,11504.0625,11668.392483623924,11394.185361207543,11663.530361223651,1506088
2015-02-16,11586.712890625,11619.773369924837,11462.249393369488,11522.5367808489,739352
2015-02-17,11561.427734375,11637.272916776326,11431.130700901153,11619.770257402959,601574
2015-02-18,11290.1435546875,11730.625578382833,11084.974636955969,11661.58733093429,1834406
2015-02-19,11376.6826171875,11473.919212416877,11319.312499312886,11376.6826171875,996814
2015-02-20,11182.2080078125,11498.226414532968,11149.147530615552,11376.68117359445,1825283
2015-02-23,11221.103515625,11376.682653701657,11177.3473402365,11376.682653701657,1331955
2015-02-24,11094.6962890625,11255.136576377194,10534.612944845263,11255.136576377194,5391332
2015-02-25,11619.7734375,11751.041955700493,11188.0423552678,11188.0423552678,3409454
2015-02-26,11610.0498046875,11725.761489003,11384.460982868392,11668.392346754834,2568293
2015-02-27,11647.97265625,11851.196694967375,11608.10520288768,11712.148771145017,2369744
2015-03-02,11571.1572265625,11813.276319852532,11562.405405229378,11644.084194251958,1972362
2015-03-03,11765.630859375,11837.58540503133,11479.754599951959,11571.157638151459,1518967
2015-03-04,12133.18359375,12144.851712635022,11671.309256740446,11831.750524324705,2962485
2015-03-05,12835.2314453125,13104.576441359566,12174.021822640105,12174.021822640105,2959882
2015-03-06,12640.7578125,12808.004085876266,12497.820199212243,12755.497067972934,1567028
2015-03-09,12448.23046875,12687.432267675076,12380.164654530925,12446.285619732247,1098554
2015-03-10,12446.2861328125,12640.759338397842,12207.083348676071,12494.904434208835,1857605
2015-03-11,12397.6640625,12472.535853255946,12273.200585524133,12446.282349116274,1028339
2015-03-12,12640.7578125,12737.994403554996,12445.31220595843,12506.571043745971,2944089
2015-03-13,12645.6201171875,12922.74452460383,12489.069522873764,12835.232169851666,1811051
2015-03-16,12335.5078125,12682.100623102226,11985.918522267206,12660.126439144737,3281146
2015-03-17,12274.5771484375,12563.237966722018,12267.585363911578,12391.439832656491,2702117
2015-03-18,12300.546875,12335.505798315062,12217.64428542428,12277.573868250101,1858554
2015-03-19,12784.9794921875,12881.865664901734,12341.500516052247,12585.21418762207,3734515
2015-03-20,12435.3896484375,12951.782937452936,12435.3896484375,12824.931974774096,1962391
2015-03-23,12025.869140625,12984.742427585134,11757.184855008047,12984.742427585134,3448284
2015-03-24,12091.794921875,12263.593098528105,11857.070668889652,12035.860631801896,1746943
2015-03-25,12077.8095703125,12152.721554911694,11946.963303879244,12141.734463837145,1200165
2015-03-26,12085.798828125,12085.798828125,11871.051162997159,11886.033558238636,1073018
2015-03-27,12265.5908203125,12304.545058259746,12037.858352313211,12184.685864575911,1228446
2015-03-30,12379.455078125,12516.294302403128,12260.5947300294,12265.588862302324,986976
2015-03-31,12465.353515625,12583.21503123748,12238.6199220315,12406.42275781876,1510632
2015-04-01,12834.91796875,12952.779472276265,12445.375711332685,12465.352237354085,1534810
2015-04-02,13134.568359375,13184.509683935361,12835.91923850404,12884.861736573193,1458481
2015-04-03,13134.568359375,13134.568359375,13134.568359375,13134.568359375,0
2015-04-06,13134.568359375,13134.568359375,13134.568359375,13134.568359375,0
2015-04-07,13340.3251953125,13526.106902884238,13134.566960044876,13134.566960044876,2862927
2015-04-08,13233.4521484375,13484.157597094592,13068.645777806345,13484.157597094592,1077000
2015-04-09,13304.3681640625,13309.362296256217,13019.702629020621,13184.508991413288,1281973
2015-04-10,13633.9814453125,14410.069619891827,13234.450853508471,13309.362839471727,768111
2015-04-13,14178.3408203125,14178.3408203125,13465.178767075224,13683.92174979086,1333334
2015-04-14,13741.8544921875,14116.41441620046,13734.862706939257,14033.511819685591,1510400
2015-04-15,13534.0986328125,13853.723102369695,13464.180780096864,13785.802902588792,2374059
2015-04-16,13570.056640625,13665.943983293924,13484.157562817423,13589.034343861558,771034
2015-04-17,13597.0244140625,13814.768579365198,13514.12181901606,13514.12181901606,706042
2015-04-20,13713.88671875,13836.742368160505,13596.025201429351,13633.980605312272,629398
2015-04-21,13733.8642578125,13853.723436789773,13658.952270951704,13684.921759730114,608653
2015-04-22,13385.2724609375,13723.874607363723,13349.314710874538,13660.948544753539,1178333
2015-04-23,13650.9609375,13672.935119151058,13407.247286461,13445.20269113101,724511
2015-04-24,13436.21484375,13657.954339387266,13254.428410389719,13585.040000731768,1101147
2015-04-27,13436.21484375,13436.21484375,13436.21484375,13436.21484375,0
2015-04-28,13284.3896484375,13737.856783805217,13100.605611195959,13485.153732598097,1086167
2015-04-29,13038.6806640625,13395.261711792722,12984.744034994063,13304.368503547763,823862
2015-04-30,13192.4990234375,13297.375794898806,12961.770126222626,12984.743133304626,1014534
2015-05-01,13192.4990234375,13192.4990234375,13192.4990234375,13192.4990234375,0
2015-05-04,12892.8525390625,13308.364365546076,12885.860753520708,13308.364365546076,858298
2015-05-05,12910.830078125,13184.508512397493,12910.830078125,12984.743231906623,794390
2015-05-06,12736.037109375,12984.744915839934,12653.134507220022,12984.744915839934,978308
2015-05-07,12510.30078125,12720.054327282935,12315.529631362275,12653.132957834332,2174209
2015-05-08,12576.2236328125,12819.93728275343,12564.23771560229,12629.161433824258,1838299
2015-05-11,12745.0244140625,12840.91174507739,12386.4457491214,12606.187549363856,1366518
2015-05-12,12460.3603515625,12873.87451473259,12305.542246993988,12792.96956976453,2689883
2015-05-13,12434.390625,12533.274444734518,12327.516193569765,12485.330774560207,2899488
2015-05-14,12285.564453125,12415.41188230437,12185.681815294714,12415.41188230437,1644087
2015-05-15,12243.6123046875,12520.287178924606,12223.635779471824,12334.505494418823,1909548
2015-05-18,12385.4462890625,12385.4462890625,12185.681026335686,12265.587131426411,745254
2015-05-19,12742.02734375,12834.918191360624,12395.434611267343,12395.434611267343,1234803
2015-05-20,12755.013671875,12864.884580559907,12668.115771369665,12755.013671875,923893
2015-05-21,12535.2724609375,12821.93566382906,12535.2724609375,12821.93566382906,746444
2015-05-22,12784.9794921875,12807.952502212525,12573.228269348145,12605.190718078613,1160274
2015-05-25,12666.1171875,12825.929406567897,12640.147701901466,12809.948184661107,772536
2015-05-26,12328.513671875,12760.006656258862,12328.513671875,12670.112284512223,4930207
2015-05-27,12384.4482421875,12465.353178683765,12034.859010413516,12346.49283988061,1205614
2015-05-28,12282.5693359375,12331.511833901308,12154.719545338166,12331.511833901308,980462
2015-05-29,12167.7021484375,12324.51787962324,12166.703322124215,12283.566000778557,2010671
2015-06-01,11985.9169921875,12224.636505615235,11888.03200341797,12170.699879150392,1174296
2015-06-02,11797.140625,12040.854308219034,11509.478572675896,12040.854308219034,1721194
2015-06-03,11787.1513671875,11971.934267190016,11631.334435293487,11849.078609350505,970711
2015-06-04,11808.125,11914.999418457113,11589.382031382169,11826.103874132972,844294
2015-06-05,11886.0322265625,11977.924240414917,11753.188336971507,11798.13551766019,1109161
2015-06-08,11920.994140625,12051.840410622644,11765.177208414067,11975.92959749424,1099381
2015-06-09,11738.208984375,11967.939078521209,11720.23010744182,11920.994233195679,745403
2015-06-10,12015.880859375,12066.821002669109,11665.292814350842,11826.103854945968,1044013
2015-06-11,12195.6689453125,12349.488193271396,12015.88021393197,12015.88021393197,1130596
2015-06-12,12278.5751953125,12322.523565002059,12165.707791337041,12195.67258885265,1170234
2015-06-15,11964.943359375,12333.510359926748,11908.010245468633,12275.578419460619,1085734
2015-06-16,11964.943359375,11964.943359375,11964.943359375,11964.943359375,0
2015-06-17,12164.708984375,12222.640926331955,11968.938973623912,11971.935453380305,1062537
2015-06-18,11985.9169921875,12273.579000000002,11912.003837402344,12175.69401123047,3156203
2015-06-19,11995.90625,12255.601139675271,11986.91681151124,12096.787726373856,2142742
2015-06-22,12205.66015625,12265.589747851882,11886.035667706628,12054.837350718595,414375
2015-06-23,12394.4384765625,12559.244854887329,12253.603935084917,12285.566384214582,1287032
2015-06-24,12540.265625,12569.231590999601,12385.447530864198,12395.435795001991,1518742
2015-06-25,12868.8798828125,12899.843502524327,12485.330528962764,12485.330528962764,1918123
2015-06-26,12673.1103515625,12830.924935070292,12572.22887729486,12784.978917087012,1287609
2015-06-29,12438.384765625,12584.213415410693,12185.681694421022,12346.492739732645,1943010
2015-06-30,12632.1591796875,12661.125149183106,12395.43729105099,12396.436117585321,1602829
2015-07-01,12725.048828125,12911.829372148499,12535.271804785616,12655.130977421017,1135724
2015-07-02,12796.96484375,12924.81463301007,12561.241794801748,12664.12092209696,1179562
2015-07-03,13039.677734375,13039.677734375,12632.156591852978,12823.931247157458,693270
2015-07-06,12757.0107421875,12911.8288337189,12630.159789771447,12735.03656145401,839717
2015-07-07,12298.55078125,12824.932350462926,12209.65522212296,12757.012147983838,965646
2015-07-08,12476.3408203125,12577.222288797933,11985.917047774397,12135.741010871578,1370052
2015-07-09,13044.673828125,13044.673828125,12534.27349687141,12535.272323351359,983754
2015-07-10,13404.2529296875,13479.16492445103,13032.689435660395,13083.629592099594,2444459
2015-07-13,13617.9990234375,13683.921565284858,13383.274821405243,13414.238439545668,1214054
2015-07-14,13345.318359375,13710.888789696926,13291.381738507831,13682.921652950987,791716
2015-07-15,13595.02734375,13677.92994234902,13418.235055171368,13437.212758465119,596075
2015-07-16,13841.73828125,13852.725373261383,13484.158377606798,13683.923686904676,1074382
2015-07-17,13883.6875,14031.51381294964,13784.803682553957,13843.734442446043,702641
2015-07-20,14042.5,14064.474180240415,13808.774628351945,13933.627925172486,395846
2015-07-21,13778.810546875,14183.335249411019,13754.838712650644,14082.453780383517,981123
2015-07-22,13514.1220703125,13833.746539085596,13478.164317575525,13756.83690128707,1498140
2015-07-23,13683.9248046875,13806.780479941264,13436.215800923814,13632.984646655452,1795308
2015-07-24,13385.2724609375,13759.832357426685,13385.2724609375,13683.921551738209,1111112
2015-07-27,13633.9814453125,13752.8417963742,13385.273651914493,13385.273651914493,2318436
2015-07-28,13337.3310546875,13871.703264247735,13326.343962528317,13671.9379522626,1644185
2015-07-29,13534.0986328125,13641.971891288053,13347.318083415013,13564.063426833487,1762117
2015-07-30,13633.9814453125,13746.848837497138,13561.067112308265,13654.956801382212,1867437
2015-07-31,13569.056640625,13662.946322201646,13369.291360674686,13662.946322201646,1313340
2015-08-03,13534.0986328125,13657.953114765913,13478.16435063999,13564.063426833487,1655165
2015-08-04,13733.8642578125,13763.829052556819,13537.095438991477,13583.041457599433,1137078
2015-08-05,13760.8310546875,13846.730123476287,13683.921423330097,13749.843964493584,953509
2015-08-06,13733.8642578125,13974.581442258523,13708.89359552557,13765.826705539774,1100205
2015-08-07,13548.08203125,13815.767521103657,13358.305004861213,13708.89309045313,839887
2015-08-10,13548.08203125,13548.08203125,13548.08203125,13548.08203125,0
2015-08-11,13610.0078125,13937.622854515266,13540.089968167475,13578.04536937656,1175526
2015-08-12,13224.462890625,13683.92308168901,13224.462890625,13563.06507490913,1308540
2015-08-13,13326.3408203125,13483.156553245273,13243.438235386257,13434.214063349058,714876
2015-08-14,13193.498046875,13469.174135976182,13190.501567645639,13408.24572497918,599010
2015-08-17,13385.2724609375,13434.214954078754,13152.545911918887,13334.33231501497,765387
2015-08-18,13496.142578125,13581.042823768918,13168.52751258141,13284.391377224874,529637
2015-08-19,13316.35546875,13584.040982223223,13210.479855212085,13560.06914519577,989556
2015-08-20,12992.7333984375,13298.374267127681,12686.09370337905,13205.483414878705,1463575
2015-08-21,12722.0517578125,12874.872195823438,12525.282958543516,12784.977820522887,1633489
2015-08-24,12393.439453125,12465.354962524178,11926.987468549776,12385.448840969535,2261566
2015-08-25,12911.8291015625,13123.580302114155,12419.407677638132,12635.154183860572,1150329
2015-08-26,12988.73828125,13068.64439186981,12728.044595352872,12840.911976603353,835551
2015-08-27,12881.865234375,13482.159954531577,12757.011923194346,13110.596500457956,1663249
2015-08-28,13323.3447265625,13323.3447265625,12681.09938139572,12944.789538664818,1534687
2015-08-31,13385.2724609375,13385.2724609375,13033.685571432985,13384.273634546862,1143184
2015-09-01,12889.85546875,13209.479936010752,12746.024458482661,13184.509274506005,1070371
2015-09-02,13060.654296875,13249.432490673515,12787.97468361048,12965.765786764636,1041154
2015-09-03,13353.30859375,13353.30859375,13093.613759852551,13256.422444180567,720010
2015-09-04,12899.84375,13263.41658197832,12883.862526616338,13263.41658197832,791629
2015-09-07,12620.1748046875,13084.629199953008,12574.228778489192,13084.629199953008,1086934
2015-09-08,12818.939453125,12919.820930822181,12635.155374943995,12685.09670053666,1869336
2015-09-09,12984.74609375,13184.51141826923,12834.922100360576,13034.687424879809,1113989
2015-09-10,12887.857421875,12904.837471179184,12380.453595608822,12904.837471179184,1225280
2015-09-11,12959.7724609375,13161.535392506623,12813.943807427144,12983.744294391257,1315825
2015-09-14,13349.3154296875,13384.274355242238,12962.769595696549,13002.72265347339,1025768
2015-09-15,13202.48828125,13460.18551052542,13055.660790151214,13384.274698800878,1069480
2015-09-16,13356.306640625,13454.191627970293,13203.486201198166,13334.332459792384,1167455
2015-09-17,13747.845703125,13904.661438041494,13363.297563361624,13384.272916439626,3084387
2015-09-18,13752.8427734375,13863.712520539799,13581.044606756459,13683.92374145499,945030
2015-09-21,13584.0390625,13862.711628561581,13529.103610409007,13755.837203584559,788069
2015-09-22,13259.4208984375,13683.922132474107,13209.479576786136,13584.039489171375,1047254
2015-09-23,13494.1455078125,13727.870900027758,13273.404859609202,13278.398991921493,1265445
2015-09-24,13494.1455078125,13494.1455078125,13494.1455078125,13494.1455078125,0
2015-09-25,13420.232421875,13650.96133594564,13420.232421875,13534.098639208563,936674
2015-09-28,13187.5048828125,13604.0154891999,13134.567083919139,13384.273682472734,1160011
2015-09-29,13252.431640625,13523.113655594052,13068.647541900626,13163.53607113332,892367
2015-09-30,13749.8447265625,13778.810693224588,13409.244911673803,13409.244911673803,1465504
2015-10-01,13638.974609375,13883.687079480958,13470.172946322318,13830.749279825384,1300544
2015-10-02,13833.74609375,13973.581794336644,13563.06413047157,13683.92212883574,989677
2015-10-05,13919.5400390625,13989.462378691807,13732.747503195642,13930.527835289962,1115088
2015-10-06,13774.703125,14009.442445839377,13717.766353562363,13868.59885333575,979244
2015-10-07,13819.6533203125,13936.523536320925,13697.788650628501,13928.532410440008,1027214
2015-10-08,13734.7470703125,13856.611735227272,13644.846907670455,13834.636139914774,429825
2015-10-09,13719.76171875,13985.466605330816,13662.824957339826,13955.499888799144,1454079
2015-10-12,13883.5810546875,13974.480103250458,13773.703083897111,13773.703083897111,1738585
2015-10-13,13891.572265625,13911.550078619355,13610.883993054307,13883.581140427257,856060
2015-10-14,13884.580078125,13981.472471475945,13692.793072729317,13863.603374409848,557001
2015-10-15,14184.248046875,14259.16484993948,13884.580834617076,13959.497637681558,1142792
2015-10-16,14336.0791015625,14464.935999841595,14124.314276483678,14364.048040723854,1353076
2015-10-19,14553.8349609375,14631.74842195007,14328.085702106211,14334.079045261024,1166351
2015-10-20,14344.0703125,14529.863980893106,14184.247802054319,14483.915009139973,797578
2015-10-21,14327.0859375,14567.818539531478,14234.189124267936,14408.994955618593,987613
2015-10-22,14385.0234375,14551.838166620373,14224.202051940838,14324.091111294354,970583
2015-10-23,14579.806640625,14687.686821303781,14467.930897698856,14482.914256126465,1505854
2015-10-26,14763.6025390625,14953.391746262896,14449.950901899738,14579.806675247377,1184391
2015-10-27,14948.3984375,14948.3984375,14515.878790093553,14783.581481790847,908475
2015-10-28,15375.921875,15379.917437106153,14686.687411688756,14745.621952754498,924814
2015-10-29,15058.27734375,15371.929024409204,14947.400475746268,15371.929024409204,848290
2015-10-30,14783.5810546875,15309.996407107792,14758.60878939242,15057.27708232158,1180193
2015-11-02,15278.03125,15278.03125,14746.621467391305,14886.466147025172,1084018
2015-11-03,15203.1162109375,15432.861068264414,14997.344730027307,15432.861068264414,1103947
2015-11-04,15449.8408203125,15559.718785673227,15222.093764837537,15238.076014344551,796996
2015-11-05,14954.392578125,15456.834597148236,14885.46912024706,15449.842362291054,2204721
2015-11-06,14533.857421875,14984.357057425903,14356.05490496134,14982.359276336985,1247533
2015-11-09,14679.6943359375,14770.593368638256,14434.966170973925,14662.713197960435,1065068
2015-11-10,14154.2802734375,14656.722261972367,14084.357929108593,14656.722261972367,1146667
2015-11-11,14522.8701171875,14522.8701171875,14184.246211160498,14184.246211160498,924714
2015-11-12,14415.9892578125,14738.630924267145,14240.184510766006,14568.819520869964,912424
2015-11-13,13802.6708984375,14424.979768731795,13784.690866872015,14384.02525238819,1108691
2015-11-16,13968.48828125,14063.382902725883,13634.858769955843,13835.635811183764,1099945
2015-11-17,14328.0859375,14533.857389195831,14206.22129135004,14206.22129135004,752799
2015-11-18,14457.94140625,14533.85708587381,14094.345256472814,14432.969143215852,733557
2015-11-19,14905.4462890625,14909.441851665117,14350.063087298744,14508.886700752768,862715
2015-11-20,15073.259765625,15232.083377469557,14388.020786220179,14908.44280993725,1149099
2015-11-23,15288.0205078125,15368.930645749959,14857.498662737871,15183.136995671348,669230
2015-11-24,15258.0546875,15364.935987111294,15134.192246828969,15288.021407017186,743851
2015-11-25,14765.6005859375,15348.952685936656,14733.63608730741,15233.081378402576,1328397
2015-11-26,14718.65625,15036.303531133357,14694.682870291823,14758.611882846963,660891
2015-11-27,14686.69140625,14915.437399042712,14553.838930086547,14722.651474985973,693467
2015-11-30,14407.9990234375,14890.463217025985,14407.9990234375,14890.463217025985,1561507
2015-12-01,14512.880859375,14714.656751287295,14378.030634582128,14533.857561009447,1124270
2015-12-02,14184.248046875,14651.728897997358,14080.363413292253,14582.805439178037,1586220
2015-12-03,13834.634765625,14184.24647450361,13834.634765625,14184.24647450361,1215014
2015-12-04,13404.1142578125,13820.65167829896,13261.27288819724,13784.691613220994,1696263
2015-12-07,13548.953125,13887.577064057432,13445.068494728694,13445.068494728694,3277282
2015-12-08,13305.22265625,13837.631340617962,13123.424568904842,13584.912021396398,2796879
