Price,Close,High,Low,Open,Volume
Ticker,MRP.JO,MRP.JO,MRP.JO,MRP.JO,MRP.JO
Date,,,,,
2015-01-01,23399.826171875,23399.826171875,23399.826171875,23399.826171875,0
2015-01-02,23110.0703125,23399.829908386833,23068.24933989778,23293.286001995457,418681
2015-01-05,22105.369140625,23196.697274774775,22105.369140625,23098.11927725577,891889
2015-01-06,22574.359375,22687.873422406377,22005.793400710158,22055.58026360769,656947
2015-01-07,22897.974609375,22937.804100781115,22055.580866135686,22594.27473740338,1099081
2015-01-08,23490.443359375,23490.443359375,22791.43563446799,23196.700796914076,649570
2015-01-09,23350.04296875,23598.977328757996,23255.44791194696,23399.829840751598,745972
2015-01-12,23453.6015625,23697.557255070795,23331.125847454256,23540.230726800648,670861
2015-01-13,24505.09765625,24699.266451169493,23300.25539033929,23453.598951455202,1066013
2015-01-14,24003.248046875,24879.49704219774,23919.606097321466,24096.847371375385,1533744
2015-01-15,24554.8828125,24744.07290716241,23718.46344662409,24295.9911040146,1462565
2015-01-16,23897.701171875,24554.887954101563,23810.076267578126,24554.887954101563,697303
2015-01-19,24037.099609375,24394.569317733145,23798.12264557011,23798.12264557011,802337
2015-01-20,24026.150390625,24394.57326950648,24026.150390625,24246.208380443397,1059168
2015-01-21,24801.830078125,24892.44219218913,23998.26990175408,24195.425930157355,1223527
2015-01-22,25606.380859375,25789.59652581321,24856.59065922298,24942.224068536492,805457
2015-01-23,25629.287109375,25886.187380334195,25339.52750143265,25789.600844353412,477286
2015-01-26,25886.18359375,26078.36090011588,25192.154668687734,25480.91849690589,753570
2015-01-27,25734.826171875,26485.6119692669,25529.704322720183,25889.165427307023,656799
2015-01-28,26643.94140625,26692.73253895447,25411.218502410495,26037.537328351566,841556
2015-01-29,26508.521484375,26949.633159590165,26386.045782227222,26436.828390434835,901237
2015-01-30,26387.04296875,27071.114610996465,25951.905694133256,26640.956023732313,1116406
2015-02-02,25641.234375,26682.775719268182,25501.831135805405,26361.152531697797,837143
2015-02-03,25947.92578125,26272.53623463223,25520.75435640038,25738.82088796697,1113910
2015-02-04,25453.041015625,26379.076855720894,25256.880735518665,26187.895262926904,986956
2015-02-05,25523.740234375,25610.36939991905,25093.58161925972,25453.042869390774,485746
2015-02-06,25560.580078125,25596.42662595564,25201.118862378873,25523.737792854623,582366
2015-02-09,25781.638671875,25789.60457290138,25360.44165510522,25540.670165827043,407015
2015-02-10,25746.78125,26038.532300247516,25490.87674517539,25490.87674517539,585189
2015-02-11,25234.970703125,26138.104445291847,25042.79340187009,25690.022654801127,581856
2015-02-12,26079.357421875,26079.357421875,25269.82294117612,25315.626860133252,680134
2015-02-13,26187.890625,26309.370573906843,25855.31437143536,26078.359523526615,675698
2015-02-16,26287.47265625,26386.050678710937,25968.83662405303,26202.83496019768,540465
2015-02-17,25505.8125,26287.466328323248,25406.238763907866,26287.466328323248,771374
2015-02-18,25098.556640625,26182.914657828867,24994.004214723802,26059.443221526497,526194
2015-02-19,26082.34765625,26187.895829555433,25099.554759528663,25102.541971980703,673915
2015-02-20,26187.890625,26501.54787012833,25590.448253326995,26121.176226829848,520837
2015-02-23,26387.04296875,26481.638028449295,25894.15292084316,26187.895474646226,515257
2015-02-24,26172.958984375,26662.861811855026,25952.90100699068,26436.82940974534,657689
2015-02-25,26506.525390625,26808.233775048717,26187.8894730818,26338.245796672494,733165
2015-02-26,26529.4296875,26795.29155465319,26119.18590747335,26566.271968715984,625538
2015-02-27,26860.01953125,26860.01953125,26123.17376839087,26456.74583671223,619381
2015-03-02,26541.376953125,27269.260898078453,26196.851857428836,26904.821056966328,564682
2015-03-03,26588.18359375,26769.407824671373,26190.884318268527,26659.87669609252,488929
2015-03-04,26038.529296875,26785.33224038002,25949.908680912402,26740.524063769717,599969
2015-03-05,26580.21875,26968.556403124298,25994.725057597214,26038.537510770213,684921
2015-03-06,26692.734375,27271.257845432163,26317.341348575,26790.316647121086,401333
2015-03-09,25590.458984375,26562.298983159046,25491.880951711453,26526.452425826847,568103
2015-03-10,25207.08984375,25590.44870568339,24450.329492920453,25500.83234834831,1026703
2015-03-11,25665.134765625,25813.49965718962,24982.05882191137,25169.257477039886,1134175
2015-03-12,25901.119140625,26272.52916059475,25699.98020219634,25814.48999387602,716480
2015-03-13,25007.947265625,26237.683075819976,24948.203015736985,25889.174951473222,1699799
2015-03-16,25291.732421875,25462.999271345965,24976.083635350027,25052.75542261319,688173
2015-03-17,25291.732421875,25888.179182532604,25291.732421875,25446.071733898254,1091848
2015-03-18,25553.607421875,25836.39682715936,25094.57250695919,25263.847855192787,861329
2015-03-19,25241.943359375,26050.4821368035,24998.9834311822,25789.59893521943,1461259
2015-03-20,24717.19140625,25391.30567857934,24471.244249284937,25391.30567857934,922678
2015-03-23,24824.734375,25072.673040090653,24427.435068288476,24883.482894037545,620223
2015-03-24,25023.876953125,25546.639095514503,24694.287869066095,24824.72947030995,647655
2015-03-25,25356.451171875,25393.293453177153,24598.695061849598,25073.661769447648,739599
2015-03-26,24345.783203125,25367.40993385736,24068.968163024027,25123.45423304895,906866
2015-03-27,25088.59765625,25293.719545327134,24295.990745058738,24378.636943084963,643595
2015-03-30,25839.38671875,26067.410593840315,25285.756698880057,25390.309130690028,900341
2015-03-31,25890.16796875,26760.442450680985,25654.17820648725,25989.741708101374,1436437
2015-04-01,26440.8203125,26581.219335775684,25779.650444024443,26054.47406405344,756353
2015-04-02,26884.91015625,26919.760965711805,26208.804452690973,26386.045712239582,484682
2015-04-03,26884.91015625,26884.91015625,26884.91015625,26884.91015625,0
2015-04-06,26884.91015625,26884.91015625,26884.91015625,26884.91015625,0
2015-04-07,27009.3828125,27283.210656682026,26900.847412442396,26984.489372119817,804165
2015-04-08,27532.142578125,27770.123846702645,26786.33517157832,27072.111841376583,627767
2015-04-09,27591.880859375,28027.018063833566,27438.53731363903,27581.92348627526,989106
2015-04-10,28129.58203125,28259.027895464602,27509.237620436947,27632.709060149336,534586
2015-04-13,27562.015625,28180.368648956828,27562.015625,28099.71390670159,507349
2015-04-14,27838.828125,27927.44875963499,27335.98070375653,27562.01310894914,549738
2015-04-15,27830.861328125,28125.599609095483,27633.705315854204,27633.705315854204,417403
2015-04-16,26884.91015625,28129.581922743055,26511.508626302082,28129.581922743055,1161177
