Price,Close,High,Low,Open,Volume
Ticker,NED.JO,NED.JO,NED.JO,NED.JO,NED.JO
Date,,,,,
2015-01-01,24723.55078125,24723.55078125,24723.55078125,24723.55078125,0
2015-01-02,24266.810546875,24988.658798412565,24232.058567777593,24675.890986535906,177501
2015-01-05,23328.509765625,24610.361483327568,23234.182954484997,24349.22515353998,535672
2015-01-06,24302.560546875,24442.561406374483,23246.10016029733,23246.10016029733,377112
2015-01-07,24442.560546875,24771.21503527796,23829.93269387009,23979.862687069024,288449
2015-01-08,24905.25390625,25101.850815448957,24404.825410107194,24817.877502161573,357707
2015-01-09,24259.865234375,24922.138803373,24227.09907578889,24921.14588947645,324687
2015-01-12,23631.345703125,24531.918415424763,23631.345703125,24227.093914128152,274943
2015-01-13,24532.912109375,24723.551542959263,23510.21098129275,23767.37563388819,441606
2015-01-14,23892.486328125,24524.972459987846,23719.71931565383,23719.71931565383,798888
2015-01-15,24004.681640625,24400.85420741063,23641.275225979538,24109.930492954016,477608
2015-01-16,23543.974609375,24028.516596949856,23543.974609375,23651.209311543207,594662
2015-01-19,23780.283203125,23780.283203125,23417.86970128197,23681.984746460726,128573
2015-01-20,24152.626953125,24251.918328060765,23639.29054470709,23639.29054470709,510567
2015-01-21,24193.33984375,24287.66666330004,23830.92627389985,24152.630374259985,541122
2015-01-22,24539.86328125,24995.610691571415,24326.386825434958,24682.84286095868,514514
2015-01-23,24574.611328125,25021.42244318182,24426.66720336174,24822.839725378788,904770
2015-01-26,24697.734375,24793.05408634518,24326.38466621774,24432.62642782122,321916
2015-01-27,25276.60546875,25459.30159972576,24751.35409219468,24821.850968821196,428197
2015-01-28,25572.49609375,25814.76707207945,24891.357195659824,25106.819500157737,790554
2015-01-29,25189.228515625,25641.99717828908,25043.270196739868,25121.710381718953,436993
2015-01-30,25466.25,25670.79021756082,24937.027009903304,25005.538053649405,461935
2015-02-02,25291.49609375,26091.784483023024,24712.627444933405,25466.248893392745,367554
2015-02-03,25838.59375,26075.90012921262,25227.95181185874,25351.07311320755,751488
2015-02-04,25796.892578125,26067.95803649181,25488.096396615554,26067.95803649181,463025
2015-02-05,25490.08203125,25748.239608693322,24972.773962603955,25748.239608693322,351731
2015-02-06,25567.529296875,25666.820672785194,25246.818152685075,25490.08202366505,384842
2015-02-09,25349.083984375,25727.384062637706,25013.479190535643,25253.764279615894,325891
2015-02-10,25319.298828125,25556.605197533703,25178.305085631127,25201.14210026042,476372
2015-02-11,25071.07421875,25653.914637221536,25071.07421875,25220.01129331683,558505
2015-02-12,25686.677734375,25755.188780516164,24976.744430158607,25071.07123281673,314243
2015-02-13,25954.759765625,26189.087359530415,25400.71401393339,26107.668449783618,837381
2015-02-16,25815.75390625,26256.60754987981,25555.610539963942,26016.322455829326,562108
2015-02-17,25391.78125,25941.855422467055,25379.866285975444,25815.75538654049,969161
2015-02-18,25220.0078125,25793.911927288387,25220.0078125,25708.52134965551,511931
2015-02-19,25596.32421875,25602.28170140303,24906.249144773847,25319.301275384034,611999
2015-02-20,25509.939453125,25616.18122182671,25041.28417436605,25596.32294730303,214804
2015-02-23,25418.58984375,26058.026244506833,24981.707830810545,25716.463943481445,709811
2015-02-24,25320.294921875,25418.59338849457,25065.116074185815,25377.883922520807,676042
2015-02-25,25517.88671875,25617.1781067607,25225.97003799854,25517.88671875,728323
2015-02-26,25521.85546875,25805.828806131827,25265.683716846113,25736.324842436974,556743
2015-02-27,25400.720703125,25743.27596239238,25242.847409723512,25470.224668773455,628651
2015-03-02,24951.92578125,25609.234769200157,24868.52101540738,25609.234769200157,677802
2015-03-03,24817.880859375,25615.190654537157,24817.880859375,25159.443212470618,790436
2015-03-04,24829.79296875,25032.347364144287,24689.79213663924,24823.83548653252,3399332
2015-03-05,25169.373046875,25240.86284368651,24646.107450768523,24812.916976662047,840779
2015-03-06,25120.71484375,25506.958245893034,25041.28175333498,25171.353438889575,487111
2015-03-09,24808.94140625,25154.4753696445,24632.202769801086,25154.4753696445,527874
2015-03-10,24053.33203125,24800.003060661766,23828.933556985296,24800.003060661766,1048002
2015-03-11,23935.1796875,24063.265565691632,23652.19925893709,23940.144256422154,1711464
2015-03-12,24475.326171875,24605.397884999365,24083.125204820615,24091.068515545765,1281453
2015-03-13,24046.388671875,24541.85270471279,23829.933443100173,24524.973168523928,555754
2015-03-16,24588.515625,24592.48727992247,23898.440582221167,24055.320951658658,696682
2015-03-17,24475.326171875,24731.497942761154,24212.204004104336,24633.1994725374,541873
2015-03-18,24773.197265625,24822.84295152806,24127.80334888527,24127.80334888527,736786
2015-03-19,24475.326171875,25299.444659609533,24475.326171875,25117.741426771678,1862800
2015-03-20,24008.65234375,25021.424278846152,24000.70903445513,24416.73985877404,717738
2015-03-23,24515.037109375,24515.037109375,23829.926716281894,24303.546509768,688463
2015-03-24,25226.95703125,25226.95703125,24179.43313358523,24179.43313358523,672933
2015-03-25,24991.638671875,25213.058434442664,24800.006321311954,24974.759138405716,772534
2015-03-26,24475.326171875,24813.90979153461,24197.310296494674,24730.505028920514,747928
2015-03-27,23737.099609375,24052.918933912937,23585.148802285992,24033.05608331307,543788
2015-03-30,23667.580078125,23976.447410771423,23667.580078125,23933.742281177223,1029250
2015-03-31,23614.9453125,23995.318937476342,23492.788769753028,23621.897310867713,1069620
2015-04-01,23909.908203125,24015.181319201063,23497.754022261164,23614.94484959112,510179
2015-04-02,23705.32421875,24043.98589534281,23607.00308683596,23909.911624550936,566359
2015-04-03,23705.32421875,23705.32421875,23705.32421875,23705.32421875,0
2015-04-06,23705.32421875,23705.32421875,23705.32421875,23705.32421875,0
2015-04-07,24159.1875,24259.494905142645,23885.08013545178,23931.75783883499,717950
2015-04-08,23998.296875,24272.404222190034,23815.55864353998,24271.411079627753,711781
2015-04-09,23984.392578125,24193.945656136773,23850.318333899457,24133.363960597824,433821
2015-04-10,24227.7109375,24277.36806178264,23836.4127981528,23984.391028515063,608794
2015-04-13,24084.697265625,24330.99659026625,23916.856193591244,24232.675488897366,770608
2015-04-14,24346.890625,24380.6574731032,24050.934132801347,24050.934132801347,736106
2015-04-15,24738.1875,24738.1875,24227.712235035528,24330.99905907503,567453
2015-04-16,25116.572265625,25220.852221650726,24643.83646497504,24798.76668535612,1297035
