Price,Close,High,Low,Open,Volume
Ticker,CFR.JO,CFR.JO,CFR.JO,CFR.JO,CFR.JO
Date,,,,,
2023-04-19,300438.6875,304565.54584638326,299903.7058631415,299989.70291130943,335391
2023-04-20,302710.59375,304481.53287061356,299705.69704901543,303789.55665860645,186944
2023-04-21,302812.59375,304189.5464305882,298112.75526142743,303489.5704854816,237202
2023-04-24,308120.46875,310555.38552697556,303006.64353544026,302776.651396342,255193
2023-04-25,311021.3125,312731.2537419783,307956.4178177406,310040.3462085493,265419
2023-04-26,303653.59375,308189.4383059895,300701.69491197506,308189.4383059895,247345
2023-04-28,301528.6875,307934.4684176425,298804.7806595913,304207.59587938874,263258
2023-05-02,301989.65625,304359.5750755381,298593.77256581123,298489.7761278973,280368
2023-05-03,312290.3125,312290.3125,306089.5247093349,306089.5247093349,433400
2023-05-04,305989.5,311417.313745098,305989.5,310539.343872549,348859
2023-05-05,306411.46875,307808.42073727166,304878.5214368379,307835.4198093234,194323
2023-05-08,309822.375,311186.32822480175,306702.4819931221,306411.4919722883,215580
2023-05-09,307897.46875,311100.3591991155,304266.5929395915,307654.47706122854,309323
2023-05-10,310843.34375,315659.1786548106,308219.43370219617,309149.401821273,317308
2023-05-11,317680.09375,318853.0534812129,310903.32640266017,310904.3263683304,409450
2023-05-12,332288.625,347975.0880164761,328705.74765009026,332632.6132244959,916029
2023-05-15,330160.71875,335196.54668097233,329337.74687009724,333925.5901082428,659019
2023-05-16,327749.75,333460.5539768307,327552.75676178676,328688.7177699604,320070
2023-05-17,332665.625,332765.62158076756,324699.89737605845,328228.77671134466,323310
2023-05-18,331695.625,337487.4263789278,326963.7872712213,333321.5692407004,218395
2023-05-19,332695.625,337137.4731313889,329717.7268155614,332388.63549609715,189090
2023-05-22,329822.71875,334984.54219508904,328865.7514820903,332695.6204853237,114393
2023-05-23,316169.1875,330742.6891086565,315492.21065156715,327588.7969669176,243512
2023-05-24,306939.46875,313989.2268691969,305670.51228854456,314689.2028526633,368245
2023-05-25,319117.09375,320955.03093605855,305289.5663240925,307085.50494550774,260140
2023-05-26,325899.84375,327123.80185129144,319117.07593867654,319117.07593867654,218078
2023-05-29,327866.75,329988.67719090637,325178.8422294268,324988.8487486199,157275
2023-05-30,330271.71875,335849.5282260781,327096.82719629834,325548.88007027307,234919
2023-05-31,312983.28125,324988.8700941552,311477.3328242714,328287.75711704936,317317
2023-06-01,307188.46875,318210.0908990386,304390.56466970517,312139.2990221729,299872
2023-06-02,312990.28125,317489.12718130293,310715.3591575985,307990.4524754913,692371
2023-06-05,306416.46875,314976.17456084565,304753.52590380417,308589.394068571,218527
2023-06-06,305421.53125,307720.4524512617,303881.5840338439,309788.3815700999,365857
2023-06-07,301342.6875,305695.5385374461,300991.69951145333,303839.602051,315217
2023-06-08,299840.6875,301588.6273826417,297489.76835578337,300630.6603302557,440501
2023-06-09,293539.9375,301323.6706749276,291694.0007784023,301323.6706749276,563628
2023-06-12,296419.84375,300672.69803421124,294698.90271470073,296215.8507394241,754047
2023-06-13,303601.59375,303601.59375,293964.9240565467,299489.73468810524,762449
2023-06-14,298789.78125,304283.5933590612,296201.86975778115,302773.645,671330
2023-06-15,297239.8125,298776.7598231707,290718.0360252313,298772.7599602607,8372692
2023-06-19,299365.75,305706.5328975937,298828.7683857424,302936.6277365253,665037
2023-06-20,301275.6875,303489.6117185996,295570.8827723077,299989.73151756136,407561
2023-06-21,299570.75,301989.66723523854,296840.8434054563,296540.8536697921,196065
2023-06-22,305614.53125,305778.5256324131,298146.787055726,298146.787055726,175222
2023-06-23,305294.5625,306677.515219207,299491.7608878826,305589.5524147983,209243
2023-06-26,306632.46875,308470.40562631056,303367.5808821251,305283.51507962844,75055
2023-06-27,307426.46875,308234.44107197167,304776.55952571175,302989.620739371,118170
2023-06-28,310749.375,312140.3274411926,306777.51080415753,307426.48861460615,101791
2023-06-29,314751.21875,316395.1624395972,310338.3699043841,307768.45793220354,78907
2023-06-30,320541.0,321950.95161471464,312939.2608687514,313205.25174074725,99511
2023-07-03,312953.28125,319919.0426704429,312112.3100535325,318870.07859779795,271400
2023-07-04,311983.3125,315006.2089457249,310667.35758019384,311989.3122944672,155105
2023-07-05,310904.34375,312748.2805490447,309319.39807403146,311983.30676853,130492
2023-07-06,306514.46875,309336.3717948169,303757.56347198435,308208.4105494046,124975
2023-07-07,305052.5625,309342.4157208921,303989.59886974166,304741.57314063,80708
2023-07-10,305159.5625,309342.41943199694,300826.71069834026,309389.4178244913,73995
2023-07-11,309910.375,311767.3113365987,307283.46506125754,307889.44428580184,124939
2023-07-12,316489.15625,317985.1049948657,309688.3892621445,311576.32457652054,127217
2023-07-13,317547.09375,322149.9356640165,316333.1354437615,316489.1300860788,301066
2023-07-14,322058.96875,324155.8969254549,316412.16216593055,316459.1605561291,218772
2023-07-17,291483.0,309987.3651648582,291191.0100173932,307530.44945504697,932316
2023-07-18,294181.9375,298553.78796075354,286591.19714145013,289989.08091675676,334066
2023-07-19,290215.0625,297999.7959363425,283522.29167284,297987.7963472306,359752
2023-07-20,283090.28125,286507.1639452711,281190.34647651005,286991.1473296759,315731
