Price,Close,High,Low,Open,Volume
Ticker,SOL.JO,SOL.JO,SOL.JO,SOL.JO,SOL.JO
Date,,,,,
2015-01-01,42979.66796875,42979.66796875,42979.66796875,42979.66796875,0
2015-01-02,42978.66796875,43570.99578251885,42681.50687699391,43409.45183330916,1010635
2015-01-05,40387.99609375,43325.703774659276,40387.99609375,43148.20480412233,2300587
2015-01-06,39937.26171875,40585.4320088171,39199.34477313514,40385.994996488764,3626453
2015-01-07,40228.43359375,40503.65662859892,39543.367561354324,39950.21900417446,2509704
2015-01-08,38702.75,40873.6220692054,38597.04837421416,40683.1597057611,4428860
2015-01-09,38890.21484375,39673.00506560497,38890.21484375,38996.91363832132,2673665
2015-01-12,38072.5234375,39379.832977221384,37987.762712193886,38830.38404023703,3061661
2015-01-13,38291.91796875,38341.77723693848,37169.08724914551,37842.18736968994,3215472
2015-01-14,36407.22265625,37836.188694771125,35973.44720143026,37668.661622564876,3972207
2015-01-15,36797.12890625,37394.44280600458,35898.6650937644,37145.14652063122,4422608
2015-01-16,38267.96875,38307.856147071085,36199.80721186419,36646.546059060354,4205359
2015-01-19,39488.53515625,39621.160792002054,38595.05718907828,38625.96993124606,2330928
2015-01-20,38368.6953125,39290.09444623574,37700.58122202062,39271.147927251994,2487736
2015-01-21,38857.3046875,38890.21178978366,37918.95367995676,38889.21460486598,1877418
2015-01-22,39899.375,40860.66155153454,39128.55082537739,39388.816167649704,2657539
2015-01-23,40124.72265625,40905.51836776259,39497.49340651638,40734.002579282176,1768238
2015-01-26,41413.09375,41413.09375,39195.35427251385,39599.214204340235,1916158
2015-01-27,41539.7421875,41707.26929428877,40834.732279763906,41529.77033590543,1582833
2015-01-28,41498.8515625,42633.64810897551,41331.324480067764,41682.333605163876,1824807
2015-01-29,40915.5,41512.8138480661,40213.48172113768,41089.01019960518,1992730
2015-01-30,42002.43359375,42112.12395474125,40883.59191163923,40883.59191163923,1673429
2015-02-02,44873.3359375,44951.116386458336,42679.528402777774,42878.96545138889,3033175
2015-02-03,47310.453125,47339.371494880805,45278.18975199709,45800.714780188224,3334822
2015-02-04,46768.9765625,47814.02650679756,46195.59515222223,47515.86817345313,3260475
2015-02-05,44927.1796875,46319.25015502231,43591.948773451026,46269.39089758956,4983320
