Price,Close,High,Low,Open,Volume
Ticker,SBK.JO,SBK.JO,SBK.JO,SBK.JO,SBK.JO
Date,,,,,
2015-01-01,14255.0634765625,14255.0634765625,14255.0634765625,14255.0634765625,0
2015-01-02,14133.853515625,14382.234183339484,14075.235678044382,14207.374193268488,1618581
2015-01-05,13438.390625,14131.86960298684,13438.390625,14078.219366867515,3182810
2015-01-06,13968.9267578125,14011.648226559722,13443.353339968773,13482.100718599973,2934716
2015-01-07,14290.828125,14290.828125,13804.995606011888,13883.483886175612,2548467
2015-01-08,14505.4326171875,14505.4326171875,14083.185434837864,14291.825219057684,4195035
2015-01-09,14190.482421875,14613.723023409604,14168.6249260211,14584.91086978401,3460376
2015-01-12,14083.1826171875,14444.82483748071,13941.108887786597,14190.483056175595,2727381
2015-01-13,14505.4326171875,14584.91443974743,13919.254175808004,14103.055890477846,4372990
2015-01-14,13919.25390625,14396.144832374197,13919.25390625,14224.265394416934,5562997
2015-01-15,13852.6845703125,14188.495183865223,13716.571984345863,14097.091111537264,4454111
2015-01-16,13933.1611328125,14020.591122807331,13660.935936692233,13730.482519642666,2508178
2015-01-19,13983.83203125,14100.074187388987,13909.317828596804,14000.721917184725,1118572
2015-01-20,14103.0556640625,14167.63464385567,13896.402928724352,13997.742250861329,2871779
2015-01-21,14182.5361328125,14182.5361328125,13889.446944778896,14068.28102561296,4922173
2015-01-22,14460.7216796875,14625.646433986925,14271.952382597798,14271.952382597798,5070918
2015-01-23,14406.078125,14649.491169181036,14379.253014008622,14633.59480711207,3292921
2015-01-26,14654.458984375,14654.458984375,14360.376282044492,14406.078323622882,2684112
2015-01-27,14906.814453125,14938.607179231372,14517.353558321947,14660.42082580062,4615131
2015-01-28,15215.7998046875,15239.644348945581,14803.487893558195,14803.487893558195,3430495
2015-01-29,15220.7666015625,15337.008748584878,14939.599698935726,15002.191624255467,4469819
2015-01-30,15361.8505859375,15411.526729340481,15115.45691465872,15198.912835575728,3637330
2015-02-02,15215.7998046875,15273.42411997786,14840.248232622736,15114.460491590658,6794608
2015-02-03,15934.11328125,15983.789404461279,15200.893702651514,15290.310724431818,9164869
2015-02-04,15727.46484375,16015.586435960202,15573.468820327305,15960.942685713439,5499760
2015-02-05,15211.8232421875,15747.331878301344,15151.21836871265,15727.461427981721,7809971
2015-02-06,15325.0859375,15399.600131685576,15074.718245036467,15298.260827593193,4005939
2015-02-09,15236.6630859375,15325.086600194702,15007.159357921619,15325.086600194702,3370434
2015-02-10,15076.7060546875,15235.669677010399,15002.19185672364,15219.77331477811,2376603
2015-02-11,14972.384765625,15151.218823874005,14930.656818700232,15086.639858395198,2032514
2015-02-12,15154.201171875,15166.123443825601,14902.839938249854,14903.833460912403,3461994
2015-02-13,15303.2294921875,15379.730736808575,15045.907123916606,15195.929045186509,3577760
2015-02-16,15200.896484375,15378.737038015726,15071.738540390113,15329.060905713848,1391488
2015-02-17,15201.8935546875,15272.433679018119,14970.402724137719,15126.3858159674,2001132
2015-02-18,15225.734375,15438.348218800978,15104.52461358075,15331.047774265904,2720335
2015-02-19,15309.19140625,15388.673222883135,15078.694138013903,15310.184928957913,2065369
2015-02-20,15431.3955078125,15431.3955078125,15091.610723903676,15271.438343457761,1711256
2015-02-23,15390.658203125,15598.304421216351,15270.441971598428,15598.304421216351,2088140
2015-02-24,15380.7236328125,15526.771457502342,15206.857174848403,15390.658858981877,1929634
2015-02-25,15571.478515625,15574.459083196421,15269.447668387713,15344.955380197036,3003406
2015-02-26,15595.3251953125,15628.111443095217,15298.26191994788,15503.921110584924,1798746
2015-02-27,15152.21484375,15603.274153897695,15126.383253301012,15499.947792101748,4959617
2015-03-02,15027.03125,15264.483181818181,14963.445795454545,15264.483181818181,4358953
2015-03-03,14880.9833984375,15199.904193663728,14785.6052166876,15161.15680732783,3927412
2015-03-04,14793.5517578125,14920.722652708402,14780.635963799634,14853.163114794954,3101611
2015-03-05,15594.3330078125,15771.180056448498,14795.540720715071,14959.47197366417,26808710
2015-03-06,15601.2861328125,15725.476463742996,15420.4650109777,15548.62943249797,13664851
2015-03-09,15563.5322265625,15588.37029267575,15389.66576376975,15588.37029267575,7363988
2015-03-10,15498.953125,15538.694030448718,15373.769272836538,15538.694030448718,8359714
2015-03-11,15335.0185546875,15519.81372483145,15124.391801620202,15508.884978210033,11533671
2015-03-12,15307.2041015625,15469.148300209523,15193.942514778691,15399.6017118335,8970699
2015-03-13,15255.5400390625,15449.276952616208,15126.382096693362,15349.924689255333,5629035
2015-03-16,15538.6943359375,15538.6943359375,15175.065043932824,15290.31367199988,11098401
2015-03-17,15787.076171875,15970.877876833898,15512.863898530915,15597.313330539058,4880661
2015-03-18,16000.6826171875,16149.711017844322,15797.010469623176,15866.557056596359,5766600
2015-03-19,16045.3896484375,16313.640744727169,15866.555584244388,16154.677132111068,9660556
2015-03-20,16006.64453125,16224.22600678496,15995.715781337285,16020.553849320728,4520392
2015-03-23,16363.31640625,16432.86298478294,15901.328420281192,16006.641810631072,4679328
2015-03-24,16880.94140625,16928.630487969735,16233.16471289028,16245.086983320212,4843790
2015-03-25,16740.859375,16878.959045808606,16629.584820103857,16750.794603115726,7639959
2015-03-26,16565.001953125,16691.179320608167,16393.12254702588,16591.827062747405,5580092
2015-03-27,16591.828125,16638.52368918413,16353.382690868264,16472.60540793413,3883575
2015-03-30,16740.859375,16781.59381027448,16526.258447700297,16564.012314540058,3538606
2015-03-31,16691.1796875,16889.884207589286,16625.607195870536,16643.490602678572,3433528
2015-04-01,16656.41015625,16770.66528109156,16463.666728256412,16591.8311726439,2440153
2015-04-02,16691.1796875,16887.89716238839,16607.7237890625,16740.855817522322,1896720
2015-04-03,16691.1796875,16691.1796875,16691.1796875,16691.1796875,0
2015-04-06,16691.1796875,16691.1796875,16691.1796875,16691.1796875,0
2015-04-07,16890.880859375,17109.45587196617,16788.54801257095,16840.211197365228,3997507
2015-04-08,16988.244140625,17057.79072755077,16706.083702240445,16989.237663295367,3144790
2015-04-09,17103.49609375,17207.815994408946,16850.147763578276,16988.247441593452,3353039
2015-04-10,17277.36328125,17307.16896833669,17085.61336099231,17089.587452603868,3568991
2015-04-13,17222.71875,17366.779564464956,17086.606118402076,17185.958404239977,3374290
2015-04-14,17339.951171875,17391.614350751843,16995.19880513916,17180.987544561645,4134648
2015-04-15,17405.5234375,17534.68138298062,17237.61810837519,17339.950942102147,3581134
2015-04-16,17510.833984375,17519.775686835106,17313.123007757094,17442.280932180853,4100710
2015-04-17,17386.6484375,17585.352991071428,17210.794907589287,17534.683329910717,3587176
2015-04-20,17086.931640625,17190.2780140257,16904.088056916073,16973.64811593577,3668930
2015-04-21,17162.453125,17388.02644787505,17035.257594920677,17190.27714720485,3210469
2015-04-22,17308.53515625,17308.53515625,17110.785788004865,17110.785788004865,3432369
2015-04-23,17389.021484375,17501.311296806245,17280.706532560787,17290.643684103376,5960469
2015-04-24,17389.021484375,17534.103896896788,17346.29173274187,17412.87064807721,4240943
2015-04-27,17389.021484375,17389.021484375,17389.021484375,17389.021484375,0
2015-04-28,17469.51171875,17587.76381741503,17360.20305611846,17390.014509563425,3925201
2015-04-29,17145.560546875,17582.795196267893,17052.15132632288,17469.511673470643,2998422
2015-04-30,17350.26953125,17423.804465116697,17199.22480222652,17258.84772157789,5451958
2015-05-01,17350.26953125,17350.26953125,17350.26953125,17350.26953125,0
2015-05-04,17112.76953125,17487.40016322731,17024.32887807764,17439.701833426483,2587032
2015-05-05,17290.642578125,17359.20891938308,17150.528750336744,17161.45961633441,2148486
2015-05-06,17130.658203125,17320.45782704732,17052.15469375399,17208.16799718752,2533118
2015-05-07,16936.8828125,17090.90867708211,16709.322019020623,17090.90867708211,2869643
2015-05-08,17021.3515625,17186.308323512025,16793.790729537624,17098.861365867095,2346492
2015-05-11,16896.138671875,17052.151950207317,16808.691738797013,17021.3467806003,2359277
2015-05-12,16857.380859375,17020.350115501944,16765.959081547688,16877.255158902677,2281490
2015-05-13,16773.91015625,16893.155963047986,16754.035855117003,16846.45135538544,2528754
2015-05-14,16561.25390625,16893.154710563424,16561.25390625,16767.946622708656,2687088
2015-05-15,16840.486328125,16893.153217568004,16580.133025595424,16617.89419161116,1514625
2015-05-18,16976.625,16993.518152950128,16607.956779735425,16789.806602669167,2291559
2015-05-19,17039.23046875,17141.58310992812,16833.531471430862,16992.525865493964,2368420
2015-05-20,16893.154296875,17111.771587775736,16768.939927045038,17042.211540670956,1603032
