Price,Close,High,Low,Open,Volume
Ticker,VOD.JO,VOD.JO,VOD.JO,VOD.JO,VOD.JO
Date,,,,,
2015-01-01,12758.0234375,12758.0234375,12758.0234375,12758.0234375,0
2015-01-02,12547.423828125,12784.84242482533,12526.562779879365,12685.504099846112,335033
2015-01-05,12082.521484375,12732.19418443101,12082.521484375,12548.418267748499,1379852
2015-01-06,12263.318359375,12399.411888353077,12125.238063550525,12218.616105331104,961256
2015-01-07,12665.6357421875,12765.967444929534,12178.877976409314,12253.381716069242,1163627
2015-01-08,12761.0048828125,12899.085194093128,12676.567282389095,12763.98503341568,1067392
2015-01-09,12408.349609375,12887.160314019844,12408.349609375,12761.00064702836,921646
2015-01-12,12571.2666015625,12704.379973716541,12353.71564259433,12615.968853405275,1166573
2015-01-13,12879.21484375,13026.235576250963,12528.550529068647,12528.550529068647,1372769
2015-01-14,12705.3740234375,12895.110257876637,12615.969515063038,12770.937329578772,1431253
2015-01-15,12814.6455078125,12968.61993058079,12640.803417590238,12704.37995344295,1387850
2015-01-16,12784.8427734375,12872.260501802884,12701.398578179633,12715.305944055945,1292977
2015-01-19,12859.3486328125,12913.98472202105,12713.321267109646,12787.825025121307,591811
2015-01-20,12764.9765625,12924.91128830253,12700.406642144942,12859.347984557393,1033917
2015-01-21,13141.46875,13144.448900143623,12716.300662842996,12772.923515571849,1818436
2015-01-22,12981.53125,13261.665303604224,12775.900934056473,13140.472557009489,2265696
2015-01-23,13281.537109375,13409.683578119157,12913.985222279356,13110.675151049458,2171406
2015-01-26,13460.3447265625,13460.3447265625,13172.263547912822,13212.992266273639,1828205
2015-01-27,13560.673828125,13708.687922359168,13317.294948343986,13460.342126664256,1995886
2015-01-28,13569.6181640625,13629.221172103771,13428.55771169816,13559.684329388956,1143031
2015-01-29,13599.41796875,13681.868786237674,13510.013467859751,13510.013467859751,2922234
2015-01-30,13349.0869140625,13708.691726005543,13349.0869140625,13659.022553085233,3063257
2015-02-02,13297.4267578125,13488.156321349032,13156.36635144694,13211.99580747843,751697
2015-02-03,13325.2451171875,13511.007815630473,13256.701661612284,13311.33774938963,850322
2015-02-04,13302.3974609375,13311.337911773766,12814.646198647879,12943.78604406061,3419644
2015-02-05,13315.310546875,13407.695199281698,13041.136739732543,13211.998677516973,1374436
2015-02-06,13484.1845703125,13643.125894259014,13207.030636680764,13312.32926379533,1991646
2015-02-09,13594.4521484375,13678.889739421584,13321.271707018404,13338.15922521522,988617
2015-02-10,13480.212890625,13643.127770069546,13358.02673104159,13535.842361654844,1159667
2015-02-11,13224.9140625,13548.757071917487,13120.608798730565,13448.425342005934,958462
2015-02-12,13357.033203125,13357.033203125,13115.641036803463,13122.594720606965,798933
2015-02-13,13572.5947265625,13631.204335643022,13344.116589468935,13357.030571130745,867907
2015-02-16,13629.2197265625,13728.558062761935,13320.277500982256,13510.013723123178,960286
2015-02-17,13700.7431640625,13818.955782719942,13510.013560850493,13608.358512506686,1019871
2015-02-18,13659.0234375,13900.415633522727,13548.757866477272,13797.10374715909,779396
2015-02-19,13703.7236328125,13795.114903143689,13549.749209971911,13659.021381020071,733245
2015-02-20,13678.888671875,13800.081440064452,13463.324485833107,13675.908521837555,465475
2015-02-23,13566.640625,13706.707720857436,13535.845731584535,13678.892978417662,535393
2015-02-24,13540.8095703125,13727.565655648774,13510.014683900667,13566.637539561132,678784
2015-02-25,13713.658203125,13728.558954522818,13520.94181837989,13520.94181837989,875978
